run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0088,Iris quietly sold the apples downtown.,A,B,B,B,True,0.0,none,resample_per_test,minimal,0,"['controlled_sentence_past_tense_pool_0025', 'controlled_sentence_past_tense_pool_0115', 'controlled_sentence_past_tense_pool_0273', 'controlled_sentence_past_tense_pool_0106', 'controlled_sentence_past_tense_pool_0118', 'controlled_sentence_past_tense_pool_0045', 'controlled_sentence_past_tense_pool_0297', 'controlled_sentence_past_tense_pool_0104', 'controlled_sentence_past_tense_pool_0259', 'controlled_sentence_past_tense_pool_0055', 'controlled_sentence_past_tense_pool_0112', 'controlled_sentence_past_tense_pool_0258', 'controlled_sentence_past_tense_pool_0155', 'controlled_sentence_past_tense_pool_0163', 'controlled_sentence_past_tense_pool_0280', 'controlled_sentence_past_tense_pool_0286']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0216,The guard quickly repairs the bench at work.,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['controlled_sentence_past_tense_pool_0283', 'controlled_sentence_past_tense_pool_0185', 'controlled_sentence_past_tense_pool_0091', 'controlled_sentence_past_tense_pool_0109', 'controlled_sentence_past_tense_pool_0047', 'controlled_sentence_past_tense_pool_0290', 'controlled_sentence_past_tense_pool_0123', 'controlled_sentence_past_tense_pool_0147', 'controlled_sentence_past_tense_pool_0215', 'controlled_sentence_past_tense_pool_0087', 'controlled_sentence_past_tense_pool_0145', 'controlled_sentence_past_tense_pool_0019', 'controlled_sentence_past_tense_pool_0271', 'controlled_sentence_past_tense_pool_0257', 'controlled_sentence_past_tense_pool_0197', 'controlled_sentence_past_tense_pool_0167']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0259,The scouts moved the table inside.,A,B,B,B,True,0.0,none,resample_per_test,minimal,2,"['controlled_sentence_past_tense_pool_0279', 'controlled_sentence_past_tense_pool_0109', 'controlled_sentence_past_tense_pool_0119', 'controlled_sentence_past_tense_pool_0269', 'controlled_sentence_past_tense_pool_0054', 'controlled_sentence_past_tense_pool_0237', 'controlled_sentence_past_tense_pool_0135', 'controlled_sentence_past_tense_pool_0257', 'controlled_sentence_past_tense_pool_0172', 'controlled_sentence_past_tense_pool_0016', 'controlled_sentence_past_tense_pool_0298', 'controlled_sentence_past_tense_pool_0186', 'controlled_sentence_past_tense_pool_0020', 'controlled_sentence_past_tense_pool_0037', 'controlled_sentence_past_tense_pool_0208', 'controlled_sentence_past_tense_pool_0173']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0036,The helper collects the shells downtown.,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['controlled_sentence_past_tense_pool_0254', 'controlled_sentence_past_tense_pool_0041', 'controlled_sentence_past_tense_pool_0065', 'controlled_sentence_past_tense_pool_0063', 'controlled_sentence_past_tense_pool_0171', 'controlled_sentence_past_tense_pool_0179', 'controlled_sentence_past_tense_pool_0132', 'controlled_sentence_past_tense_pool_0283', 'controlled_sentence_past_tense_pool_0026', 'controlled_sentence_past_tense_pool_0186', 'controlled_sentence_past_tense_pool_0011', 'controlled_sentence_past_tense_pool_0266', 'controlled_sentence_past_tense_pool_0139', 'controlled_sentence_past_tense_pool_0095', 'controlled_sentence_past_tense_pool_0259', 'controlled_sentence_past_tense_pool_0227']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0117,Ravi calmly takes the photo inside.,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['controlled_sentence_past_tense_pool_0196', 'controlled_sentence_past_tense_pool_0165', 'controlled_sentence_past_tense_pool_0072', 'controlled_sentence_past_tense_pool_0209', 'controlled_sentence_past_tense_pool_0234', 'controlled_sentence_past_tense_pool_0024', 'controlled_sentence_past_tense_pool_0166', 'controlled_sentence_past_tense_pool_0040', 'controlled_sentence_past_tense_pool_0206', 'controlled_sentence_past_tense_pool_0112', 'controlled_sentence_past_tense_pool_0281', 'controlled_sentence_past_tense_pool_0124', 'controlled_sentence_past_tense_pool_0146', 'controlled_sentence_past_tense_pool_0148', 'controlled_sentence_past_tense_pool_0141', 'controlled_sentence_past_tense_pool_0069']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0046,The helper buys the book downtown.,B,A,A,A,True,0.0,none,resample_per_test,minimal,5,"['controlled_sentence_past_tense_pool_0214', 'controlled_sentence_past_tense_pool_0219', 'controlled_sentence_past_tense_pool_0025', 'controlled_sentence_past_tense_pool_0197', 'controlled_sentence_past_tense_pool_0098', 'controlled_sentence_past_tense_pool_0074', 'controlled_sentence_past_tense_pool_0059', 'controlled_sentence_past_tense_pool_0255', 'controlled_sentence_past_tense_pool_0033', 'controlled_sentence_past_tense_pool_0063', 'controlled_sentence_past_tense_pool_0041', 'controlled_sentence_past_tense_pool_0001', 'controlled_sentence_past_tense_pool_0182', 'controlled_sentence_past_tense_pool_0129', 'controlled_sentence_past_tense_pool_0159', 'controlled_sentence_past_tense_pool_0020']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0194,The chef quietly threw the ball downtown.,A,B,A,A,False,0.0,none,resample_per_test,minimal,6,"['controlled_sentence_past_tense_pool_0291', 'controlled_sentence_past_tense_pool_0082', 'controlled_sentence_past_tense_pool_0100', 'controlled_sentence_past_tense_pool_0163', 'controlled_sentence_past_tense_pool_0277', 'controlled_sentence_past_tense_pool_0091', 'controlled_sentence_past_tense_pool_0255', 'controlled_sentence_past_tense_pool_0191', 'controlled_sentence_past_tense_pool_0207', 'controlled_sentence_past_tense_pool_0092', 'controlled_sentence_past_tense_pool_0039', 'controlled_sentence_past_tense_pool_0061', 'controlled_sentence_past_tense_pool_0157', 'controlled_sentence_past_tense_pool_0198', 'controlled_sentence_past_tense_pool_0081', 'controlled_sentence_past_tense_pool_0050']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0187,Ravi calmly took the photo inside.,A,B,B,B,True,0.0,none,resample_per_test,minimal,7,"['controlled_sentence_past_tense_pool_0072', 'controlled_sentence_past_tense_pool_0055', 'controlled_sentence_past_tense_pool_0148', 'controlled_sentence_past_tense_pool_0142', 'controlled_sentence_past_tense_pool_0295', 'controlled_sentence_past_tense_pool_0244', 'controlled_sentence_past_tense_pool_0180', 'controlled_sentence_past_tense_pool_0101', 'controlled_sentence_past_tense_pool_0008', 'controlled_sentence_past_tense_pool_0165', 'controlled_sentence_past_tense_pool_0229', 'controlled_sentence_past_tense_pool_0086', 'controlled_sentence_past_tense_pool_0168', 'controlled_sentence_past_tense_pool_0253', 'controlled_sentence_past_tense_pool_0099', 'controlled_sentence_past_tense_pool_0052']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0028,The baker met the mayor.,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['controlled_sentence_past_tense_pool_0284', 'controlled_sentence_past_tense_pool_0015', 'controlled_sentence_past_tense_pool_0066', 'controlled_sentence_past_tense_pool_0068', 'controlled_sentence_past_tense_pool_0225', 'controlled_sentence_past_tense_pool_0153', 'controlled_sentence_past_tense_pool_0132', 'controlled_sentence_past_tense_pool_0149', 'controlled_sentence_past_tense_pool_0005', 'controlled_sentence_past_tense_pool_0161', 'controlled_sentence_past_tense_pool_0113', 'controlled_sentence_past_tense_pool_0063', 'controlled_sentence_past_tense_pool_0013', 'controlled_sentence_past_tense_pool_0112', 'controlled_sentence_past_tense_pool_0176', 'controlled_sentence_past_tense_pool_0096']"
production_gpt54_20260602T001915Z_base_controlled_sentence_past_tense_seed0,controlled_sentence_past_tense,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/controlled_sentence_past_tense/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",controlled_sentence_past_tense_pool_0257,The guide calmly hides the note.,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['controlled_sentence_past_tense_pool_0163', 'controlled_sentence_past_tense_pool_0132', 'controlled_sentence_past_tense_pool_0197', 'controlled_sentence_past_tense_pool_0209', 'controlled_sentence_past_tense_pool_0298', 'controlled_sentence_past_tense_pool_0151', 'controlled_sentence_past_tense_pool_0261', 'controlled_sentence_past_tense_pool_0274', 'controlled_sentence_past_tense_pool_0018', 'controlled_sentence_past_tense_pool_0009', 'controlled_sentence_past_tense_pool_0268', 'controlled_sentence_past_tense_pool_0191', 'controlled_sentence_past_tense_pool_0199', 'controlled_sentence_past_tense_pool_0121', 'controlled_sentence_past_tense_pool_0255', 'controlled_sentence_past_tense_pool_0065']"
