run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0245,"More significantly, China holds a large portion of the American economy in the palm of its hand.",B,A,B,B,False,0.0,none,resample_per_test,minimal,0,"['sentence_first_person_pronoun_pool_0067', 'sentence_first_person_pronoun_pool_0440', 'sentence_first_person_pronoun_pool_0136', 'sentence_first_person_pronoun_pool_0102', 'sentence_first_person_pronoun_pool_0391', 'sentence_first_person_pronoun_pool_0001', 'sentence_first_person_pronoun_pool_0162', 'sentence_first_person_pronoun_pool_0328', 'sentence_first_person_pronoun_pool_0332', 'sentence_first_person_pronoun_pool_0497', 'sentence_first_person_pronoun_pool_0370', 'sentence_first_person_pronoun_pool_0351', 'sentence_first_person_pronoun_pool_0087', 'sentence_first_person_pronoun_pool_0113', 'sentence_first_person_pronoun_pool_0111', 'sentence_first_person_pronoun_pool_0118']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0218,"Your learning of concepts of all kinds combines with extensive group activity, bringing your mind into a whole new space this year.",B,A,B,B,False,0.0,none,resample_per_test,minimal,1,"['sentence_first_person_pronoun_pool_0488', 'sentence_first_person_pronoun_pool_0308', 'sentence_first_person_pronoun_pool_0411', 'sentence_first_person_pronoun_pool_0019', 'sentence_first_person_pronoun_pool_0247', 'sentence_first_person_pronoun_pool_0475', 'sentence_first_person_pronoun_pool_0248', 'sentence_first_person_pronoun_pool_0131', 'sentence_first_person_pronoun_pool_0277', 'sentence_first_person_pronoun_pool_0477', 'sentence_first_person_pronoun_pool_0369', 'sentence_first_person_pronoun_pool_0466', 'sentence_first_person_pronoun_pool_0167', 'sentence_first_person_pronoun_pool_0452', 'sentence_first_person_pronoun_pool_0079', 'sentence_first_person_pronoun_pool_0198']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0460,"Linda Robertson says they should be charged to Jim Steffes' cost center, etc.",B,A,B,B,False,0.0,none,resample_per_test,minimal,2,"['sentence_first_person_pronoun_pool_0019', 'sentence_first_person_pronoun_pool_0178', 'sentence_first_person_pronoun_pool_0127', 'sentence_first_person_pronoun_pool_0426', 'sentence_first_person_pronoun_pool_0434', 'sentence_first_person_pronoun_pool_0227', 'sentence_first_person_pronoun_pool_0325', 'sentence_first_person_pronoun_pool_0367', 'sentence_first_person_pronoun_pool_0458', 'sentence_first_person_pronoun_pool_0315', 'sentence_first_person_pronoun_pool_0470', 'sentence_first_person_pronoun_pool_0203', 'sentence_first_person_pronoun_pool_0248', 'sentence_first_person_pronoun_pool_0479', 'sentence_first_person_pronoun_pool_0348', 'sentence_first_person_pronoun_pool_0320']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0034,Doctor Bogomilsky knows her stuff too.,B,A,B,B,False,0.0,none,resample_per_test,minimal,3,"['sentence_first_person_pronoun_pool_0000', 'sentence_first_person_pronoun_pool_0112', 'sentence_first_person_pronoun_pool_0103', 'sentence_first_person_pronoun_pool_0097', 'sentence_first_person_pronoun_pool_0356', 'sentence_first_person_pronoun_pool_0440', 'sentence_first_person_pronoun_pool_0495', 'sentence_first_person_pronoun_pool_0261', 'sentence_first_person_pronoun_pool_0137', 'sentence_first_person_pronoun_pool_0242', 'sentence_first_person_pronoun_pool_0012', 'sentence_first_person_pronoun_pool_0245', 'sentence_first_person_pronoun_pool_0249', 'sentence_first_person_pronoun_pool_0332', 'sentence_first_person_pronoun_pool_0198', 'sentence_first_person_pronoun_pool_0124']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0247,The second vendor charged $55 (less than half of what A&E charges) to come and applied that to the price of the repair service (which A&E does not).,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['sentence_first_person_pronoun_pool_0372', 'sentence_first_person_pronoun_pool_0427', 'sentence_first_person_pronoun_pool_0319', 'sentence_first_person_pronoun_pool_0330', 'sentence_first_person_pronoun_pool_0250', 'sentence_first_person_pronoun_pool_0123', 'sentence_first_person_pronoun_pool_0243', 'sentence_first_person_pronoun_pool_0369', 'sentence_first_person_pronoun_pool_0343', 'sentence_first_person_pronoun_pool_0172', 'sentence_first_person_pronoun_pool_0284', 'sentence_first_person_pronoun_pool_0483', 'sentence_first_person_pronoun_pool_0387', 'sentence_first_person_pronoun_pool_0244', 'sentence_first_person_pronoun_pool_0388', 'sentence_first_person_pronoun_pool_0236']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0102,"However, when we were talking about this position, Mike compared Sara to Elena.",A,B,A,A,False,0.0,none,resample_per_test,minimal,5,"['sentence_first_person_pronoun_pool_0434', 'sentence_first_person_pronoun_pool_0167', 'sentence_first_person_pronoun_pool_0457', 'sentence_first_person_pronoun_pool_0393', 'sentence_first_person_pronoun_pool_0227', 'sentence_first_person_pronoun_pool_0253', 'sentence_first_person_pronoun_pool_0021', 'sentence_first_person_pronoun_pool_0109', 'sentence_first_person_pronoun_pool_0454', 'sentence_first_person_pronoun_pool_0073', 'sentence_first_person_pronoun_pool_0094', 'sentence_first_person_pronoun_pool_0435', 'sentence_first_person_pronoun_pool_0424', 'sentence_first_person_pronoun_pool_0099', 'sentence_first_person_pronoun_pool_0044', 'sentence_first_person_pronoun_pool_0240']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0113,President Vladimir Putin said Russia is will have new nuclear weapons that other countries do not and will not have.,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['sentence_first_person_pronoun_pool_0329', 'sentence_first_person_pronoun_pool_0101', 'sentence_first_person_pronoun_pool_0039', 'sentence_first_person_pronoun_pool_0253', 'sentence_first_person_pronoun_pool_0377', 'sentence_first_person_pronoun_pool_0496', 'sentence_first_person_pronoun_pool_0065', 'sentence_first_person_pronoun_pool_0166', 'sentence_first_person_pronoun_pool_0426', 'sentence_first_person_pronoun_pool_0096', 'sentence_first_person_pronoun_pool_0272', 'sentence_first_person_pronoun_pool_0462', 'sentence_first_person_pronoun_pool_0078', 'sentence_first_person_pronoun_pool_0199', 'sentence_first_person_pronoun_pool_0029', 'sentence_first_person_pronoun_pool_0001']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0167,She has to iron her pants on the driveway.,B,A,B,B,False,0.0,none,resample_per_test,minimal,7,"['sentence_first_person_pronoun_pool_0365', 'sentence_first_person_pronoun_pool_0334', 'sentence_first_person_pronoun_pool_0062', 'sentence_first_person_pronoun_pool_0261', 'sentence_first_person_pronoun_pool_0349', 'sentence_first_person_pronoun_pool_0473', 'sentence_first_person_pronoun_pool_0352', 'sentence_first_person_pronoun_pool_0299', 'sentence_first_person_pronoun_pool_0450', 'sentence_first_person_pronoun_pool_0157', 'sentence_first_person_pronoun_pool_0297', 'sentence_first_person_pronoun_pool_0438', 'sentence_first_person_pronoun_pool_0072', 'sentence_first_person_pronoun_pool_0385', 'sentence_first_person_pronoun_pool_0316', 'sentence_first_person_pronoun_pool_0088']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0039,I have to scrub the floor 2-3 times a week now.,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['sentence_first_person_pronoun_pool_0403', 'sentence_first_person_pronoun_pool_0485', 'sentence_first_person_pronoun_pool_0424', 'sentence_first_person_pronoun_pool_0141', 'sentence_first_person_pronoun_pool_0169', 'sentence_first_person_pronoun_pool_0012', 'sentence_first_person_pronoun_pool_0375', 'sentence_first_person_pronoun_pool_0266', 'sentence_first_person_pronoun_pool_0277', 'sentence_first_person_pronoun_pool_0387', 'sentence_first_person_pronoun_pool_0482', 'sentence_first_person_pronoun_pool_0287', 'sentence_first_person_pronoun_pool_0282', 'sentence_first_person_pronoun_pool_0308', 'sentence_first_person_pronoun_pool_0324', 'sentence_first_person_pronoun_pool_0210']"
production_gpt54_20260602T001915Z_base_sentence_first_person_pronoun_seed0,sentence_first_person_pronoun,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_first_person_pronoun/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_first_person_pronoun_pool_0081,"Took 1+ hour to deliver to Chatham, hair in food, driver didn't know area.",B,A,B,B,False,0.0,none,resample_per_test,minimal,9,"['sentence_first_person_pronoun_pool_0097', 'sentence_first_person_pronoun_pool_0254', 'sentence_first_person_pronoun_pool_0091', 'sentence_first_person_pronoun_pool_0221', 'sentence_first_person_pronoun_pool_0212', 'sentence_first_person_pronoun_pool_0140', 'sentence_first_person_pronoun_pool_0426', 'sentence_first_person_pronoun_pool_0391', 'sentence_first_person_pronoun_pool_0412', 'sentence_first_person_pronoun_pool_0040', 'sentence_first_person_pronoun_pool_0311', 'sentence_first_person_pronoun_pool_0269', 'sentence_first_person_pronoun_pool_0227', 'sentence_first_person_pronoun_pool_0151', 'sentence_first_person_pronoun_pool_0035', 'sentence_first_person_pronoun_pool_0078']"
