run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0227,What animal has killed the most people ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['trec_human_answer_pool_0074', 'trec_human_answer_pool_0423', 'trec_human_answer_pool_0136', 'trec_human_answer_pool_0103', 'trec_human_answer_pool_0367', 'trec_human_answer_pool_0001', 'trec_human_answer_pool_0154', 'trec_human_answer_pool_0347', 'trec_human_answer_pool_0352', 'trec_human_answer_pool_0499', 'trec_human_answer_pool_0346', 'trec_human_answer_pool_0376', 'trec_human_answer_pool_0081', 'trec_human_answer_pool_0113', 'trec_human_answer_pool_0112', 'trec_human_answer_pool_0119']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0209,What non-alcoholic syrup is made from pomegranate juice ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['trec_human_answer_pool_0477', 'trec_human_answer_pool_0322', 'trec_human_answer_pool_0396', 'trec_human_answer_pool_0016', 'trec_human_answer_pool_0229', 'trec_human_answer_pool_0465', 'trec_human_answer_pool_0233', 'trec_human_answer_pool_0131', 'trec_human_answer_pool_0259', 'trec_human_answer_pool_0486', 'trec_human_answer_pool_0393', 'trec_human_answer_pool_0473', 'trec_human_answer_pool_0156', 'trec_human_answer_pool_0463', 'trec_human_answer_pool_0071', 'trec_human_answer_pool_0207']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0445,What is tumbled marble ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['trec_human_answer_pool_0016', 'trec_human_answer_pool_0176', 'trec_human_answer_pool_0126', 'trec_human_answer_pool_0444', 'trec_human_answer_pool_0452', 'trec_human_answer_pool_0247', 'trec_human_answer_pool_0308', 'trec_human_answer_pool_0392', 'trec_human_answer_pool_0442', 'trec_human_answer_pool_0329', 'trec_human_answer_pool_0456', 'trec_human_answer_pool_0215', 'trec_human_answer_pool_0233', 'trec_human_answer_pool_0467', 'trec_human_answer_pool_0371', 'trec_human_answer_pool_0335']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0028,What is Occam 's Razor ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['trec_human_answer_pool_0000', 'trec_human_answer_pool_0111', 'trec_human_answer_pool_0105', 'trec_human_answer_pool_0095', 'trec_human_answer_pool_0382', 'trec_human_answer_pool_0423', 'trec_human_answer_pool_0485', 'trec_human_answer_pool_0245', 'trec_human_answer_pool_0138', 'trec_human_answer_pool_0225', 'trec_human_answer_pool_0012', 'trec_human_answer_pool_0227', 'trec_human_answer_pool_0267', 'trec_human_answer_pool_0352', 'trec_human_answer_pool_0207', 'trec_human_answer_pool_0127']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0229,When was the first railroad from the east coast to the west coast completed ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['trec_human_answer_pool_0350', 'trec_human_answer_pool_0404', 'trec_human_answer_pool_0334', 'trec_human_answer_pool_0349', 'trec_human_answer_pool_0234', 'trec_human_answer_pool_0122', 'trec_human_answer_pool_0226', 'trec_human_answer_pool_0393', 'trec_human_answer_pool_0361', 'trec_human_answer_pool_0171', 'trec_human_answer_pool_0302', 'trec_human_answer_pool_0472', 'trec_human_answer_pool_0413', 'trec_human_answer_pool_0265', 'trec_human_answer_pool_0364', 'trec_human_answer_pool_0262']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0103,What character did Tex Avery first create upon arriving at MGM ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['trec_human_answer_pool_0452', 'trec_human_answer_pool_0156', 'trec_human_answer_pool_0468', 'trec_human_answer_pool_0416', 'trec_human_answer_pool_0247', 'trec_human_answer_pool_0237', 'trec_human_answer_pool_0017', 'trec_human_answer_pool_0107', 'trec_human_answer_pool_0435', 'trec_human_answer_pool_0064', 'trec_human_answer_pool_0096', 'trec_human_answer_pool_0414', 'trec_human_answer_pool_0439', 'trec_human_answer_pool_0098', 'trec_human_answer_pool_0040', 'trec_human_answer_pool_0263']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0113,What country is the largest diamond producer ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['trec_human_answer_pool_0348', 'trec_human_answer_pool_0101', 'trec_human_answer_pool_0043', 'trec_human_answer_pool_0237', 'trec_human_answer_pool_0405', 'trec_human_answer_pool_0487', 'trec_human_answer_pool_0070', 'trec_human_answer_pool_0175', 'trec_human_answer_pool_0444', 'trec_human_answer_pool_0094', 'trec_human_answer_pool_0252', 'trec_human_answer_pool_0448', 'trec_human_answer_pool_0085', 'trec_human_answer_pool_0208', 'trec_human_answer_pool_0034', 'trec_human_answer_pool_0001']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0156,How many times a year does the American Gourd Society publish The Gourd ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['trec_human_answer_pool_0341', 'trec_human_answer_pool_0353', 'trec_human_answer_pool_0058', 'trec_human_answer_pool_0245', 'trec_human_answer_pool_0328', 'trec_human_answer_pool_0482', 'trec_human_answer_pool_0332', 'trec_human_answer_pool_0287', 'trec_human_answer_pool_0461', 'trec_human_answer_pool_0166', 'trec_human_answer_pool_0285', 'trec_human_answer_pool_0419', 'trec_human_answer_pool_0079', 'trec_human_answer_pool_0412', 'trec_human_answer_pool_0330', 'trec_human_answer_pool_0082']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0043,Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['trec_human_answer_pool_0380', 'trec_human_answer_pool_0475', 'trec_human_answer_pool_0439', 'trec_human_answer_pool_0139', 'trec_human_answer_pool_0158', 'trec_human_answer_pool_0012', 'trec_human_answer_pool_0395', 'trec_human_answer_pool_0249', 'trec_human_answer_pool_0259', 'trec_human_answer_pool_0413', 'trec_human_answer_pool_0490', 'trec_human_answer_pool_0272', 'trec_human_answer_pool_0266', 'trec_human_answer_pool_0322', 'trec_human_answer_pool_0343', 'trec_human_answer_pool_0232']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0088,What William Styron book is about a black preacher who leads a slave revolt ?,B,A,B,B,False,0.0,none,resample_per_test,minimal,9,"['trec_human_answer_pool_0095', 'trec_human_answer_pool_0238', 'trec_human_answer_pool_0086', 'trec_human_answer_pool_0241', 'trec_human_answer_pool_0198', 'trec_human_answer_pool_0137', 'trec_human_answer_pool_0444', 'trec_human_answer_pool_0367', 'trec_human_answer_pool_0427', 'trec_human_answer_pool_0036', 'trec_human_answer_pool_0301', 'trec_human_answer_pool_0250', 'trec_human_answer_pool_0247', 'trec_human_answer_pool_0161', 'trec_human_answer_pool_0041', 'trec_human_answer_pool_0085']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0218,What cable network bills itself as `` the family entertainer '' ?,A,B,A,A,False,0.0,none,resample_per_test,minimal,10,"['trec_human_answer_pool_0126', 'trec_human_answer_pool_0204', 'trec_human_answer_pool_0345', 'trec_human_answer_pool_0335', 'trec_human_answer_pool_0319', 'trec_human_answer_pool_0130', 'trec_human_answer_pool_0067', 'trec_human_answer_pool_0094', 'trec_human_answer_pool_0344', 'trec_human_answer_pool_0164', 'trec_human_answer_pool_0239', 'trec_human_answer_pool_0177', 'trec_human_answer_pool_0407', 'trec_human_answer_pool_0100', 'trec_human_answer_pool_0115', 'trec_human_answer_pool_0090']"
production_gpt54_20260602T001915Z_base_trec_human_answer_seed0,trec_human_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_human_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_human_answer_pool_0424,What is the present Pope named ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,11,"['trec_human_answer_pool_0110', 'trec_human_answer_pool_0254', 'trec_human_answer_pool_0134', 'trec_human_answer_pool_0259', 'trec_human_answer_pool_0063', 'trec_human_answer_pool_0225', 'trec_human_answer_pool_0378', 'trec_human_answer_pool_0434', 'trec_human_answer_pool_0306', 'trec_human_answer_pool_0269', 'trec_human_answer_pool_0151', 'trec_human_answer_pool_0270', 'trec_human_answer_pool_0232', 'trec_human_answer_pool_0190', 'trec_human_answer_pool_0174', 'trec_human_answer_pool_0408']"
