run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0245,"However, when we are at parties or when they are people around she seems to ignore me.",B,A,B,B,False,0.0,none,resample_per_test,minimal,0,"['sentence_even_word_count_pool_0067', 'sentence_even_word_count_pool_0440', 'sentence_even_word_count_pool_0136', 'sentence_even_word_count_pool_0102', 'sentence_even_word_count_pool_0391', 'sentence_even_word_count_pool_0001', 'sentence_even_word_count_pool_0162', 'sentence_even_word_count_pool_0328', 'sentence_even_word_count_pool_0332', 'sentence_even_word_count_pool_0497', 'sentence_even_word_count_pool_0370', 'sentence_even_word_count_pool_0351', 'sentence_even_word_count_pool_0087', 'sentence_even_word_count_pool_0113', 'sentence_even_word_count_pool_0111', 'sentence_even_word_count_pool_0118']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0218,My family and I moved to San Antonio a year ago and have tried almost all of the Chinese Restaurants because we love Chinese food.,B,A,B,B,False,0.0,none,resample_per_test,minimal,1,"['sentence_even_word_count_pool_0488', 'sentence_even_word_count_pool_0308', 'sentence_even_word_count_pool_0411', 'sentence_even_word_count_pool_0019', 'sentence_even_word_count_pool_0247', 'sentence_even_word_count_pool_0475', 'sentence_even_word_count_pool_0248', 'sentence_even_word_count_pool_0131', 'sentence_even_word_count_pool_0277', 'sentence_even_word_count_pool_0477', 'sentence_even_word_count_pool_0369', 'sentence_even_word_count_pool_0466', 'sentence_even_word_count_pool_0167', 'sentence_even_word_count_pool_0452', 'sentence_even_word_count_pool_0079', 'sentence_even_word_count_pool_0198']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0460,"There's a Miramar in Florida, just north of Miami.",B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['sentence_even_word_count_pool_0019', 'sentence_even_word_count_pool_0178', 'sentence_even_word_count_pool_0127', 'sentence_even_word_count_pool_0426', 'sentence_even_word_count_pool_0434', 'sentence_even_word_count_pool_0227', 'sentence_even_word_count_pool_0325', 'sentence_even_word_count_pool_0367', 'sentence_even_word_count_pool_0458', 'sentence_even_word_count_pool_0315', 'sentence_even_word_count_pool_0470', 'sentence_even_word_count_pool_0203', 'sentence_even_word_count_pool_0248', 'sentence_even_word_count_pool_0479', 'sentence_even_word_count_pool_0348', 'sentence_even_word_count_pool_0320']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0034,"With your help, we know she can do it!!",B,A,B,B,False,0.0,none,resample_per_test,minimal,3,"['sentence_even_word_count_pool_0000', 'sentence_even_word_count_pool_0112', 'sentence_even_word_count_pool_0103', 'sentence_even_word_count_pool_0097', 'sentence_even_word_count_pool_0356', 'sentence_even_word_count_pool_0440', 'sentence_even_word_count_pool_0495', 'sentence_even_word_count_pool_0261', 'sentence_even_word_count_pool_0137', 'sentence_even_word_count_pool_0242', 'sentence_even_word_count_pool_0012', 'sentence_even_word_count_pool_0245', 'sentence_even_word_count_pool_0249', 'sentence_even_word_count_pool_0332', 'sentence_even_word_count_pool_0198', 'sentence_even_word_count_pool_0124']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0247,"Arial photos, loose connections to AQ Kahn and Libya make up the evidence that the group presented.",B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['sentence_even_word_count_pool_0372', 'sentence_even_word_count_pool_0427', 'sentence_even_word_count_pool_0319', 'sentence_even_word_count_pool_0330', 'sentence_even_word_count_pool_0250', 'sentence_even_word_count_pool_0123', 'sentence_even_word_count_pool_0243', 'sentence_even_word_count_pool_0369', 'sentence_even_word_count_pool_0343', 'sentence_even_word_count_pool_0172', 'sentence_even_word_count_pool_0284', 'sentence_even_word_count_pool_0483', 'sentence_even_word_count_pool_0387', 'sentence_even_word_count_pool_0244', 'sentence_even_word_count_pool_0388', 'sentence_even_word_count_pool_0236']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0102,"A MILNET brief issued in February 2005 reports, ""Due to its position astride the Persian Gulf, Iran has constantly been a threat to the Gulf.",A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['sentence_even_word_count_pool_0434', 'sentence_even_word_count_pool_0167', 'sentence_even_word_count_pool_0457', 'sentence_even_word_count_pool_0393', 'sentence_even_word_count_pool_0227', 'sentence_even_word_count_pool_0253', 'sentence_even_word_count_pool_0021', 'sentence_even_word_count_pool_0109', 'sentence_even_word_count_pool_0454', 'sentence_even_word_count_pool_0073', 'sentence_even_word_count_pool_0094', 'sentence_even_word_count_pool_0435', 'sentence_even_word_count_pool_0424', 'sentence_even_word_count_pool_0099', 'sentence_even_word_count_pool_0044', 'sentence_even_word_count_pool_0240']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0113,"There is one place in Alabama where Mr. Bush was present nearly every day: the headquarters in Montgomery of US Senate candidate Winton ""Red"" Blount.",B,A,B,B,False,0.0,none,resample_per_test,minimal,6,"['sentence_even_word_count_pool_0329', 'sentence_even_word_count_pool_0101', 'sentence_even_word_count_pool_0039', 'sentence_even_word_count_pool_0253', 'sentence_even_word_count_pool_0377', 'sentence_even_word_count_pool_0496', 'sentence_even_word_count_pool_0065', 'sentence_even_word_count_pool_0166', 'sentence_even_word_count_pool_0426', 'sentence_even_word_count_pool_0096', 'sentence_even_word_count_pool_0272', 'sentence_even_word_count_pool_0462', 'sentence_even_word_count_pool_0078', 'sentence_even_word_count_pool_0199', 'sentence_even_word_count_pool_0029', 'sentence_even_word_count_pool_0001']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0167,They gave the best service & rates I could find.,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['sentence_even_word_count_pool_0365', 'sentence_even_word_count_pool_0334', 'sentence_even_word_count_pool_0062', 'sentence_even_word_count_pool_0261', 'sentence_even_word_count_pool_0349', 'sentence_even_word_count_pool_0473', 'sentence_even_word_count_pool_0352', 'sentence_even_word_count_pool_0299', 'sentence_even_word_count_pool_0450', 'sentence_even_word_count_pool_0157', 'sentence_even_word_count_pool_0297', 'sentence_even_word_count_pool_0438', 'sentence_even_word_count_pool_0072', 'sentence_even_word_count_pool_0385', 'sentence_even_word_count_pool_0316', 'sentence_even_word_count_pool_0088']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0039,One answer is that the Pentagon prevented the State Department from running the CPA.,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['sentence_even_word_count_pool_0403', 'sentence_even_word_count_pool_0485', 'sentence_even_word_count_pool_0424', 'sentence_even_word_count_pool_0141', 'sentence_even_word_count_pool_0169', 'sentence_even_word_count_pool_0012', 'sentence_even_word_count_pool_0375', 'sentence_even_word_count_pool_0266', 'sentence_even_word_count_pool_0277', 'sentence_even_word_count_pool_0387', 'sentence_even_word_count_pool_0482', 'sentence_even_word_count_pool_0287', 'sentence_even_word_count_pool_0282', 'sentence_even_word_count_pool_0308', 'sentence_even_word_count_pool_0324', 'sentence_even_word_count_pool_0210']"
production_gpt54_20260602T001915Z_base_sentence_even_word_count_seed0,sentence_even_word_count,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_even_word_count/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_even_word_count_pool_0081,It depends on if you ever registered the birth.,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['sentence_even_word_count_pool_0097', 'sentence_even_word_count_pool_0254', 'sentence_even_word_count_pool_0091', 'sentence_even_word_count_pool_0221', 'sentence_even_word_count_pool_0212', 'sentence_even_word_count_pool_0140', 'sentence_even_word_count_pool_0426', 'sentence_even_word_count_pool_0391', 'sentence_even_word_count_pool_0412', 'sentence_even_word_count_pool_0040', 'sentence_even_word_count_pool_0311', 'sentence_even_word_count_pool_0269', 'sentence_even_word_count_pool_0227', 'sentence_even_word_count_pool_0151', 'sentence_even_word_count_pool_0035', 'sentence_even_word_count_pool_0078']"
