run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0237,I googled Garage Door Repair in Woodinville and found NDI - Johnette answered the phone and was oh-so pleasant and helpful!,B,A,B,B,False,0.0,none,resample_per_test,minimal,0,"['sentence_contains_digit_pool_0057', 'sentence_contains_digit_pool_0445', 'sentence_contains_digit_pool_0138', 'sentence_contains_digit_pool_0104', 'sentence_contains_digit_pool_0391', 'sentence_contains_digit_pool_0004', 'sentence_contains_digit_pool_0165', 'sentence_contains_digit_pool_0320', 'sentence_contains_digit_pool_0329', 'sentence_contains_digit_pool_0499', 'sentence_contains_digit_pool_0376', 'sentence_contains_digit_pool_0343', 'sentence_contains_digit_pool_0093', 'sentence_contains_digit_pool_0109', 'sentence_contains_digit_pool_0108', 'sentence_contains_digit_pool_0115']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0211,Then Charles A. Briggs came to the rescue.,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['sentence_contains_digit_pool_0486', 'sentence_contains_digit_pool_0296', 'sentence_contains_digit_pool_0420', 'sentence_contains_digit_pool_0011', 'sentence_contains_digit_pool_0239', 'sentence_contains_digit_pool_0480', 'sentence_contains_digit_pool_0244', 'sentence_contains_digit_pool_0133', 'sentence_contains_digit_pool_0272', 'sentence_contains_digit_pool_0474', 'sentence_contains_digit_pool_0368', 'sentence_contains_digit_pool_0461', 'sentence_contains_digit_pool_0168', 'sentence_contains_digit_pool_0448', 'sentence_contains_digit_pool_0081', 'sentence_contains_digit_pool_0203']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0467,They seem to be just that: rumors.,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['sentence_contains_digit_pool_0011', 'sentence_contains_digit_pool_0184', 'sentence_contains_digit_pool_0123', 'sentence_contains_digit_pool_0419', 'sentence_contains_digit_pool_0431', 'sentence_contains_digit_pool_0233', 'sentence_contains_digit_pool_0332', 'sentence_contains_digit_pool_0365', 'sentence_contains_digit_pool_0459', 'sentence_contains_digit_pool_0305', 'sentence_contains_digit_pool_0472', 'sentence_contains_digit_pool_0209', 'sentence_contains_digit_pool_0244', 'sentence_contains_digit_pool_0482', 'sentence_contains_digit_pool_0340', 'sentence_contains_digit_pool_0312']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0021,And they usually come out within a few days.,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['sentence_contains_digit_pool_0001', 'sentence_contains_digit_pool_0116', 'sentence_contains_digit_pool_0106', 'sentence_contains_digit_pool_0087', 'sentence_contains_digit_pool_0353', 'sentence_contains_digit_pool_0445', 'sentence_contains_digit_pool_0490', 'sentence_contains_digit_pool_0261', 'sentence_contains_digit_pool_0135', 'sentence_contains_digit_pool_0234', 'sentence_contains_digit_pool_0007', 'sentence_contains_digit_pool_0237', 'sentence_contains_digit_pool_0250', 'sentence_contains_digit_pool_0329', 'sentence_contains_digit_pool_0203', 'sentence_contains_digit_pool_0129']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0239,The Chili Relleno..had no batter on it.,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['sentence_contains_digit_pool_0377', 'sentence_contains_digit_pool_0433', 'sentence_contains_digit_pool_0311', 'sentence_contains_digit_pool_0323', 'sentence_contains_digit_pool_0249', 'sentence_contains_digit_pool_0117', 'sentence_contains_digit_pool_0236', 'sentence_contains_digit_pool_0368', 'sentence_contains_digit_pool_0338', 'sentence_contains_digit_pool_0175', 'sentence_contains_digit_pool_0281', 'sentence_contains_digit_pool_0484', 'sentence_contains_digit_pool_0386', 'sentence_contains_digit_pool_0248', 'sentence_contains_digit_pool_0388', 'sentence_contains_digit_pool_0246']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0104,"We had 30 guests for the event, and everyone came away from the evening impressed with not only the food, but the outstanding service as well.",A,B,A,A,False,0.0,none,resample_per_test,minimal,5,"['sentence_contains_digit_pool_0431', 'sentence_contains_digit_pool_0168', 'sentence_contains_digit_pool_0454', 'sentence_contains_digit_pool_0392', 'sentence_contains_digit_pool_0233', 'sentence_contains_digit_pool_0254', 'sentence_contains_digit_pool_0012', 'sentence_contains_digit_pool_0107', 'sentence_contains_digit_pool_0455', 'sentence_contains_digit_pool_0077', 'sentence_contains_digit_pool_0101', 'sentence_contains_digit_pool_0437', 'sentence_contains_digit_pool_0413', 'sentence_contains_digit_pool_0091', 'sentence_contains_digit_pool_0030', 'sentence_contains_digit_pool_0247']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0109,"Justin, I have no knowledge of any bad faith actins Enron has pending inTexas but I will call Richard Sanders who manages domestic litgation here.",B,A,B,B,False,0.0,none,resample_per_test,minimal,6,"['sentence_contains_digit_pool_0321', 'sentence_contains_digit_pool_0094', 'sentence_contains_digit_pool_0049', 'sentence_contains_digit_pool_0254', 'sentence_contains_digit_pool_0373', 'sentence_contains_digit_pool_0491', 'sentence_contains_digit_pool_0056', 'sentence_contains_digit_pool_0163', 'sentence_contains_digit_pool_0419', 'sentence_contains_digit_pool_0086', 'sentence_contains_digit_pool_0267', 'sentence_contains_digit_pool_0468', 'sentence_contains_digit_pool_0075', 'sentence_contains_digit_pool_0205', 'sentence_contains_digit_pool_0042', 'sentence_contains_digit_pool_0004']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0168,I think this office has some serious billing practice issues!,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['sentence_contains_digit_pool_0367', 'sentence_contains_digit_pool_0331', 'sentence_contains_digit_pool_0070', 'sentence_contains_digit_pool_0261', 'sentence_contains_digit_pool_0355', 'sentence_contains_digit_pool_0469', 'sentence_contains_digit_pool_0357', 'sentence_contains_digit_pool_0306', 'sentence_contains_digit_pool_0443', 'sentence_contains_digit_pool_0158', 'sentence_contains_digit_pool_0303', 'sentence_contains_digit_pool_0444', 'sentence_contains_digit_pool_0064', 'sentence_contains_digit_pool_0384', 'sentence_contains_digit_pool_0307', 'sentence_contains_digit_pool_0095']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0049,I sent my wife and daughter over to check out a pre-owned 2009 XF.,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['sentence_contains_digit_pool_0411', 'sentence_contains_digit_pool_0485', 'sentence_contains_digit_pool_0413', 'sentence_contains_digit_pool_0140', 'sentence_contains_digit_pool_0170', 'sentence_contains_digit_pool_0007', 'sentence_contains_digit_pool_0370', 'sentence_contains_digit_pool_0263', 'sentence_contains_digit_pool_0272', 'sentence_contains_digit_pool_0386', 'sentence_contains_digit_pool_0477', 'sentence_contains_digit_pool_0286', 'sentence_contains_digit_pool_0284', 'sentence_contains_digit_pool_0296', 'sentence_contains_digit_pool_0315', 'sentence_contains_digit_pool_0222']"
production_gpt54_20260602T001915Z_base_sentence_contains_digit_seed0,sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_contains_digit_pool_0079,"Hence, I think that we have to reference the manufacturer.",B,A,B,B,False,0.0,none,resample_per_test,minimal,9,"['sentence_contains_digit_pool_0087', 'sentence_contains_digit_pool_0256', 'sentence_contains_digit_pool_0098', 'sentence_contains_digit_pool_0225', 'sentence_contains_digit_pool_0201', 'sentence_contains_digit_pool_0139', 'sentence_contains_digit_pool_0419', 'sentence_contains_digit_pool_0391', 'sentence_contains_digit_pool_0405', 'sentence_contains_digit_pool_0024', 'sentence_contains_digit_pool_0327', 'sentence_contains_digit_pool_0264', 'sentence_contains_digit_pool_0233', 'sentence_contains_digit_pool_0153', 'sentence_contains_digit_pool_0046', 'sentence_contains_digit_pool_0075']"
