run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0230,urmgj,B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['random_even_length_pool_0056', 'random_even_length_pool_0434', 'random_even_length_pool_0136', 'random_even_length_pool_0104', 'random_even_length_pool_0371', 'random_even_length_pool_0004', 'random_even_length_pool_0158', 'random_even_length_pool_0346', 'random_even_length_pool_0356', 'random_even_length_pool_0498', 'random_even_length_pool_0347', 'random_even_length_pool_0369', 'random_even_length_pool_0096', 'random_even_length_pool_0111', 'random_even_length_pool_0109', 'random_even_length_pool_0117']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0204,qtofsmhweia,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['random_even_length_pool_0484', 'random_even_length_pool_0313', 'random_even_length_pool_0404', 'random_even_length_pool_0013', 'random_even_length_pool_0235', 'random_even_length_pool_0475', 'random_even_length_pool_0236', 'random_even_length_pool_0130', 'random_even_length_pool_0265', 'random_even_length_pool_0476', 'random_even_length_pool_0386', 'random_even_length_pool_0457', 'random_even_length_pool_0160', 'random_even_length_pool_0451', 'random_even_length_pool_0087', 'random_even_length_pool_0211']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0465,fuuddrtej,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['random_even_length_pool_0013', 'random_even_length_pool_0175', 'random_even_length_pool_0127', 'random_even_length_pool_0431', 'random_even_length_pool_0442', 'random_even_length_pool_0247', 'random_even_length_pool_0314', 'random_even_length_pool_0385', 'random_even_length_pool_0463', 'random_even_length_pool_0321', 'random_even_length_pool_0473', 'random_even_length_pool_0216', 'random_even_length_pool_0236', 'random_even_length_pool_0478', 'random_even_length_pool_0366', 'random_even_length_pool_0335']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0027,kujrzhsja,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['random_even_length_pool_0000', 'random_even_length_pool_0114', 'random_even_length_pool_0105', 'random_even_length_pool_0084', 'random_even_length_pool_0375', 'random_even_length_pool_0434', 'random_even_length_pool_0489', 'random_even_length_pool_0245', 'random_even_length_pool_0137', 'random_even_length_pool_0225', 'random_even_length_pool_0007', 'random_even_length_pool_0230', 'random_even_length_pool_0262', 'random_even_length_pool_0356', 'random_even_length_pool_0211', 'random_even_length_pool_0126']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0235,ieoyfghuhrvab,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['random_even_length_pool_0348', 'random_even_length_pool_0422', 'random_even_length_pool_0333', 'random_even_length_pool_0350', 'random_even_length_pool_0237', 'random_even_length_pool_0118', 'random_even_length_pool_0228', 'random_even_length_pool_0386', 'random_even_length_pool_0364', 'random_even_length_pool_0167', 'random_even_length_pool_0297', 'random_even_length_pool_0480', 'random_even_length_pool_0403', 'random_even_length_pool_0261', 'random_even_length_pool_0363', 'random_even_length_pool_0258']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0104,lfansmocuw,A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['random_even_length_pool_0442', 'random_even_length_pool_0160', 'random_even_length_pool_0453', 'random_even_length_pool_0408', 'random_even_length_pool_0247', 'random_even_length_pool_0241', 'random_even_length_pool_0016', 'random_even_length_pool_0108', 'random_even_length_pool_0458', 'random_even_length_pool_0082', 'random_even_length_pool_0102', 'random_even_length_pool_0427', 'random_even_length_pool_0428', 'random_even_length_pool_0088', 'random_even_length_pool_0038', 'random_even_length_pool_0259']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0111,pzipkwq,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['random_even_length_pool_0349', 'random_even_length_pool_0090', 'random_even_length_pool_0051', 'random_even_length_pool_0241', 'random_even_length_pool_0393', 'random_even_length_pool_0493', 'random_even_length_pool_0054', 'random_even_length_pool_0176', 'random_even_length_pool_0431', 'random_even_length_pool_0081', 'random_even_length_pool_0255', 'random_even_length_pool_0466', 'random_even_length_pool_0067', 'random_even_length_pool_0213', 'random_even_length_pool_0037', 'random_even_length_pool_0004']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0160,ebvrjgyul,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['random_even_length_pool_0344', 'random_even_length_pool_0357', 'random_even_length_pool_0077', 'random_even_length_pool_0245', 'random_even_length_pool_0331', 'random_even_length_pool_0471', 'random_even_length_pool_0332', 'random_even_length_pool_0285', 'random_even_length_pool_0449', 'random_even_length_pool_0166', 'random_even_length_pool_0283', 'random_even_length_pool_0433', 'random_even_length_pool_0063', 'random_even_length_pool_0402', 'random_even_length_pool_0326', 'random_even_length_pool_0097']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0051,vkppuv,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['random_even_length_pool_0392', 'random_even_length_pool_0482', 'random_even_length_pool_0428', 'random_even_length_pool_0139', 'random_even_length_pool_0162', 'random_even_length_pool_0007', 'random_even_length_pool_0390', 'random_even_length_pool_0252', 'random_even_length_pool_0265', 'random_even_length_pool_0403', 'random_even_length_pool_0486', 'random_even_length_pool_0275', 'random_even_length_pool_0271', 'random_even_length_pool_0313', 'random_even_length_pool_0342', 'random_even_length_pool_0229']"
production_gpt54_20260602T001915Z_base_random_even_length_seed0,random_even_length,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_even_length/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_even_length_pool_0071,svbclybvh,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['random_even_length_pool_0084', 'random_even_length_pool_0242', 'random_even_length_pool_0099', 'random_even_length_pool_0234', 'random_even_length_pool_0197', 'random_even_length_pool_0138', 'random_even_length_pool_0431', 'random_even_length_pool_0371', 'random_even_length_pool_0415', 'random_even_length_pool_0030', 'random_even_length_pool_0307', 'random_even_length_pool_0253', 'random_even_length_pool_0247', 'random_even_length_pool_0154', 'random_even_length_pool_0043', 'random_even_length_pool_0067']"
