run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0088,Ryan sorted 11 purple seeds.,A,B,B,B,True,0.0,none,resample_per_test,minimal,0,"['balanced_sentence_contains_digit_pool_0025', 'balanced_sentence_contains_digit_pool_0115', 'balanced_sentence_contains_digit_pool_0273', 'balanced_sentence_contains_digit_pool_0106', 'balanced_sentence_contains_digit_pool_0118', 'balanced_sentence_contains_digit_pool_0045', 'balanced_sentence_contains_digit_pool_0297', 'balanced_sentence_contains_digit_pool_0104', 'balanced_sentence_contains_digit_pool_0259', 'balanced_sentence_contains_digit_pool_0055', 'balanced_sentence_contains_digit_pool_0112', 'balanced_sentence_contains_digit_pool_0258', 'balanced_sentence_contains_digit_pool_0155', 'balanced_sentence_contains_digit_pool_0163', 'balanced_sentence_contains_digit_pool_0280', 'balanced_sentence_contains_digit_pool_0286']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0216,Only two smooth keys stayed dry.,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['balanced_sentence_contains_digit_pool_0283', 'balanced_sentence_contains_digit_pool_0185', 'balanced_sentence_contains_digit_pool_0091', 'balanced_sentence_contains_digit_pool_0109', 'balanced_sentence_contains_digit_pool_0047', 'balanced_sentence_contains_digit_pool_0290', 'balanced_sentence_contains_digit_pool_0123', 'balanced_sentence_contains_digit_pool_0147', 'balanced_sentence_contains_digit_pool_0215', 'balanced_sentence_contains_digit_pool_0087', 'balanced_sentence_contains_digit_pool_0145', 'balanced_sentence_contains_digit_pool_0019', 'balanced_sentence_contains_digit_pool_0271', 'balanced_sentence_contains_digit_pool_0257', 'balanced_sentence_contains_digit_pool_0197', 'balanced_sentence_contains_digit_pool_0167']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0259,Max sorted 12 round cups.,A,B,B,B,True,0.0,none,resample_per_test,minimal,2,"['balanced_sentence_contains_digit_pool_0279', 'balanced_sentence_contains_digit_pool_0109', 'balanced_sentence_contains_digit_pool_0119', 'balanced_sentence_contains_digit_pool_0269', 'balanced_sentence_contains_digit_pool_0054', 'balanced_sentence_contains_digit_pool_0237', 'balanced_sentence_contains_digit_pool_0135', 'balanced_sentence_contains_digit_pool_0257', 'balanced_sentence_contains_digit_pool_0172', 'balanced_sentence_contains_digit_pool_0016', 'balanced_sentence_contains_digit_pool_0298', 'balanced_sentence_contains_digit_pool_0186', 'balanced_sentence_contains_digit_pool_0020', 'balanced_sentence_contains_digit_pool_0037', 'balanced_sentence_contains_digit_pool_0208', 'balanced_sentence_contains_digit_pool_0173']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0036,Five cool leaves fell softly.,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['balanced_sentence_contains_digit_pool_0254', 'balanced_sentence_contains_digit_pool_0041', 'balanced_sentence_contains_digit_pool_0065', 'balanced_sentence_contains_digit_pool_0063', 'balanced_sentence_contains_digit_pool_0171', 'balanced_sentence_contains_digit_pool_0179', 'balanced_sentence_contains_digit_pool_0132', 'balanced_sentence_contains_digit_pool_0283', 'balanced_sentence_contains_digit_pool_0026', 'balanced_sentence_contains_digit_pool_0186', 'balanced_sentence_contains_digit_pool_0011', 'balanced_sentence_contains_digit_pool_0266', 'balanced_sentence_contains_digit_pool_0139', 'balanced_sentence_contains_digit_pool_0095', 'balanced_sentence_contains_digit_pool_0259', 'balanced_sentence_contains_digit_pool_0227']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0117,Noah carried two round apples.,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['balanced_sentence_contains_digit_pool_0196', 'balanced_sentence_contains_digit_pool_0165', 'balanced_sentence_contains_digit_pool_0072', 'balanced_sentence_contains_digit_pool_0209', 'balanced_sentence_contains_digit_pool_0234', 'balanced_sentence_contains_digit_pool_0024', 'balanced_sentence_contains_digit_pool_0166', 'balanced_sentence_contains_digit_pool_0040', 'balanced_sentence_contains_digit_pool_0206', 'balanced_sentence_contains_digit_pool_0112', 'balanced_sentence_contains_digit_pool_0281', 'balanced_sentence_contains_digit_pool_0124', 'balanced_sentence_contains_digit_pool_0146', 'balanced_sentence_contains_digit_pool_0148', 'balanced_sentence_contains_digit_pool_0141', 'balanced_sentence_contains_digit_pool_0069']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0046,Ryan sorted eleven purple seeds.,B,A,A,A,True,0.0,none,resample_per_test,minimal,5,"['balanced_sentence_contains_digit_pool_0214', 'balanced_sentence_contains_digit_pool_0219', 'balanced_sentence_contains_digit_pool_0025', 'balanced_sentence_contains_digit_pool_0197', 'balanced_sentence_contains_digit_pool_0098', 'balanced_sentence_contains_digit_pool_0074', 'balanced_sentence_contains_digit_pool_0059', 'balanced_sentence_contains_digit_pool_0255', 'balanced_sentence_contains_digit_pool_0033', 'balanced_sentence_contains_digit_pool_0063', 'balanced_sentence_contains_digit_pool_0041', 'balanced_sentence_contains_digit_pool_0001', 'balanced_sentence_contains_digit_pool_0182', 'balanced_sentence_contains_digit_pool_0129', 'balanced_sentence_contains_digit_pool_0159', 'balanced_sentence_contains_digit_pool_0020']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0194,Theo found 10 late books.,A,B,B,B,True,0.0,none,resample_per_test,minimal,6,"['balanced_sentence_contains_digit_pool_0291', 'balanced_sentence_contains_digit_pool_0082', 'balanced_sentence_contains_digit_pool_0100', 'balanced_sentence_contains_digit_pool_0163', 'balanced_sentence_contains_digit_pool_0277', 'balanced_sentence_contains_digit_pool_0091', 'balanced_sentence_contains_digit_pool_0255', 'balanced_sentence_contains_digit_pool_0191', 'balanced_sentence_contains_digit_pool_0207', 'balanced_sentence_contains_digit_pool_0092', 'balanced_sentence_contains_digit_pool_0039', 'balanced_sentence_contains_digit_pool_0061', 'balanced_sentence_contains_digit_pool_0157', 'balanced_sentence_contains_digit_pool_0198', 'balanced_sentence_contains_digit_pool_0081', 'balanced_sentence_contains_digit_pool_0050']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0187,The shelf held 6 early brushes.,A,B,B,B,True,0.0,none,resample_per_test,minimal,7,"['balanced_sentence_contains_digit_pool_0072', 'balanced_sentence_contains_digit_pool_0055', 'balanced_sentence_contains_digit_pool_0148', 'balanced_sentence_contains_digit_pool_0142', 'balanced_sentence_contains_digit_pool_0295', 'balanced_sentence_contains_digit_pool_0244', 'balanced_sentence_contains_digit_pool_0180', 'balanced_sentence_contains_digit_pool_0101', 'balanced_sentence_contains_digit_pool_0008', 'balanced_sentence_contains_digit_pool_0165', 'balanced_sentence_contains_digit_pool_0229', 'balanced_sentence_contains_digit_pool_0086', 'balanced_sentence_contains_digit_pool_0168', 'balanced_sentence_contains_digit_pool_0253', 'balanced_sentence_contains_digit_pool_0099', 'balanced_sentence_contains_digit_pool_0052']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0028,Near the door sat 4 early pens.,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['balanced_sentence_contains_digit_pool_0284', 'balanced_sentence_contains_digit_pool_0015', 'balanced_sentence_contains_digit_pool_0066', 'balanced_sentence_contains_digit_pool_0068', 'balanced_sentence_contains_digit_pool_0225', 'balanced_sentence_contains_digit_pool_0153', 'balanced_sentence_contains_digit_pool_0132', 'balanced_sentence_contains_digit_pool_0149', 'balanced_sentence_contains_digit_pool_0005', 'balanced_sentence_contains_digit_pool_0161', 'balanced_sentence_contains_digit_pool_0113', 'balanced_sentence_contains_digit_pool_0063', 'balanced_sentence_contains_digit_pool_0013', 'balanced_sentence_contains_digit_pool_0112', 'balanced_sentence_contains_digit_pool_0176', 'balanced_sentence_contains_digit_pool_0096']"
production_gpt54_20260602T001915Z_base_balanced_sentence_contains_digit_seed0,balanced_sentence_contains_digit,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/balanced_sentence_contains_digit/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",balanced_sentence_contains_digit_pool_0257,The shelf held ten cool maps.,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['balanced_sentence_contains_digit_pool_0163', 'balanced_sentence_contains_digit_pool_0132', 'balanced_sentence_contains_digit_pool_0197', 'balanced_sentence_contains_digit_pool_0209', 'balanced_sentence_contains_digit_pool_0298', 'balanced_sentence_contains_digit_pool_0151', 'balanced_sentence_contains_digit_pool_0261', 'balanced_sentence_contains_digit_pool_0274', 'balanced_sentence_contains_digit_pool_0018', 'balanced_sentence_contains_digit_pool_0009', 'balanced_sentence_contains_digit_pool_0268', 'balanced_sentence_contains_digit_pool_0191', 'balanced_sentence_contains_digit_pool_0199', 'balanced_sentence_contains_digit_pool_0121', 'balanced_sentence_contains_digit_pool_0255', 'balanced_sentence_contains_digit_pool_0065']"
