run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0234,"Employees seemed to be having a good time chatting and laughing with each other, while myself and other customers were completely ignored.",B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['sentence_has_long_word_pool_0057', 'sentence_has_long_word_pool_0442', 'sentence_has_long_word_pool_0136', 'sentence_has_long_word_pool_0109', 'sentence_has_long_word_pool_0393', 'sentence_has_long_word_pool_0004', 'sentence_has_long_word_pool_0153', 'sentence_has_long_word_pool_0320', 'sentence_has_long_word_pool_0326', 'sentence_has_long_word_pool_0499', 'sentence_has_long_word_pool_0373', 'sentence_has_long_word_pool_0347', 'sentence_has_long_word_pool_0095', 'sentence_has_long_word_pool_0103', 'sentence_has_long_word_pool_0102', 'sentence_has_long_word_pool_0117']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0208,There are plenty of good dentists in Fernandina.,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['sentence_has_long_word_pool_0489', 'sentence_has_long_word_pool_0297', 'sentence_has_long_word_pool_0422', 'sentence_has_long_word_pool_0015', 'sentence_has_long_word_pool_0238', 'sentence_has_long_word_pool_0476', 'sentence_has_long_word_pool_0239', 'sentence_has_long_word_pool_0130', 'sentence_has_long_word_pool_0279', 'sentence_has_long_word_pool_0474', 'sentence_has_long_word_pool_0365', 'sentence_has_long_word_pool_0461', 'sentence_has_long_word_pool_0158', 'sentence_has_long_word_pool_0453', 'sentence_has_long_word_pool_0091', 'sentence_has_long_word_pool_0207']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0467,They have a land area larger than either the US or all of Europe.,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['sentence_has_long_word_pool_0015', 'sentence_has_long_word_pool_0174', 'sentence_has_long_word_pool_0129', 'sentence_has_long_word_pool_0416', 'sentence_has_long_word_pool_0433', 'sentence_has_long_word_pool_0237', 'sentence_has_long_word_pool_0333', 'sentence_has_long_word_pool_0364', 'sentence_has_long_word_pool_0457', 'sentence_has_long_word_pool_0302', 'sentence_has_long_word_pool_0473', 'sentence_has_long_word_pool_0213', 'sentence_has_long_word_pool_0239', 'sentence_has_long_word_pool_0479', 'sentence_has_long_word_pool_0345', 'sentence_has_long_word_pool_0310']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0030,The price spikes pose real political risks for Davis and he and his folks need and want an easy way out.,B,A,B,B,False,0.0,none,resample_per_test,minimal,3,"['sentence_has_long_word_pool_0003', 'sentence_has_long_word_pool_0114', 'sentence_has_long_word_pool_0110', 'sentence_has_long_word_pool_0081', 'sentence_has_long_word_pool_0355', 'sentence_has_long_word_pool_0442', 'sentence_has_long_word_pool_0494', 'sentence_has_long_word_pool_0254', 'sentence_has_long_word_pool_0138', 'sentence_has_long_word_pool_0230', 'sentence_has_long_word_pool_0006', 'sentence_has_long_word_pool_0234', 'sentence_has_long_word_pool_0258', 'sentence_has_long_word_pool_0326', 'sentence_has_long_word_pool_0207', 'sentence_has_long_word_pool_0125']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0238,He showed me the car I was interested in and we took a test drive.,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['sentence_has_long_word_pool_0374', 'sentence_has_long_word_pool_0429', 'sentence_has_long_word_pool_0309', 'sentence_has_long_word_pool_0324', 'sentence_has_long_word_pool_0241', 'sentence_has_long_word_pool_0118', 'sentence_has_long_word_pool_0231', 'sentence_has_long_word_pool_0365', 'sentence_has_long_word_pool_0339', 'sentence_has_long_word_pool_0167', 'sentence_has_long_word_pool_0281', 'sentence_has_long_word_pool_0485', 'sentence_has_long_word_pool_0386', 'sentence_has_long_word_pool_0255', 'sentence_has_long_word_pool_0388', 'sentence_has_long_word_pool_0252']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0109,"It appears this guy is going to bring stability to the country and I think that's good news for the subcontinent.""",A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['sentence_has_long_word_pool_0433', 'sentence_has_long_word_pool_0158', 'sentence_has_long_word_pool_0458', 'sentence_has_long_word_pool_0390', 'sentence_has_long_word_pool_0237', 'sentence_has_long_word_pool_0247', 'sentence_has_long_word_pool_0016', 'sentence_has_long_word_pool_0101', 'sentence_has_long_word_pool_0451', 'sentence_has_long_word_pool_0088', 'sentence_has_long_word_pool_0106', 'sentence_has_long_word_pool_0438', 'sentence_has_long_word_pool_0411', 'sentence_has_long_word_pool_0083', 'sentence_has_long_word_pool_0041', 'sentence_has_long_word_pool_0253']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0103,"I got my horse when I was 12 and I was already 5'9-5'10, thankfully I stopped growing when I hit 5'11"" but my horse is about 16.2 or 16.3hh, TB.",B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['sentence_has_long_word_pool_0323', 'sentence_has_long_word_pool_0086', 'sentence_has_long_word_pool_0045', 'sentence_has_long_word_pool_0247', 'sentence_has_long_word_pool_0375', 'sentence_has_long_word_pool_0495', 'sentence_has_long_word_pool_0056', 'sentence_has_long_word_pool_0180', 'sentence_has_long_word_pool_0416', 'sentence_has_long_word_pool_0079', 'sentence_has_long_word_pool_0268', 'sentence_has_long_word_pool_0468', 'sentence_has_long_word_pool_0071', 'sentence_has_long_word_pool_0209', 'sentence_has_long_word_pool_0034', 'sentence_has_long_word_pool_0004']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0158,I sincerely wonder if the doctor has a clue about what is going on within his practice.,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['sentence_has_long_word_pool_0369', 'sentence_has_long_word_pool_0327', 'sentence_has_long_word_pool_0072', 'sentence_has_long_word_pool_0254', 'sentence_has_long_word_pool_0353', 'sentence_has_long_word_pool_0471', 'sentence_has_long_word_pool_0354', 'sentence_has_long_word_pool_0308', 'sentence_has_long_word_pool_0448', 'sentence_has_long_word_pool_0164', 'sentence_has_long_word_pool_0304', 'sentence_has_long_word_pool_0441', 'sentence_has_long_word_pool_0066', 'sentence_has_long_word_pool_0385', 'sentence_has_long_word_pool_0305', 'sentence_has_long_word_pool_0096']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0045,You add the water and put water conditioner into the water.,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['sentence_has_long_word_pool_0413', 'sentence_has_long_word_pool_0488', 'sentence_has_long_word_pool_0411', 'sentence_has_long_word_pool_0140', 'sentence_has_long_word_pool_0163', 'sentence_has_long_word_pool_0006', 'sentence_has_long_word_pool_0370', 'sentence_has_long_word_pool_0257', 'sentence_has_long_word_pool_0279', 'sentence_has_long_word_pool_0386', 'sentence_has_long_word_pool_0481', 'sentence_has_long_word_pool_0288', 'sentence_has_long_word_pool_0285', 'sentence_has_long_word_pool_0297', 'sentence_has_long_word_pool_0317', 'sentence_has_long_word_pool_0227']"
production_gpt54_20260602T001915Z_base_sentence_has_long_word_seed0,sentence_has_long_word,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_has_long_word/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_has_long_word_pool_0074,He gave no indication on the value of the highest bid.,B,A,B,B,False,0.0,none,resample_per_test,minimal,9,"['sentence_has_long_word_pool_0081', 'sentence_has_long_word_pool_0248', 'sentence_has_long_word_pool_0100', 'sentence_has_long_word_pool_0232', 'sentence_has_long_word_pool_0198', 'sentence_has_long_word_pool_0137', 'sentence_has_long_word_pool_0416', 'sentence_has_long_word_pool_0393', 'sentence_has_long_word_pool_0402', 'sentence_has_long_word_pool_0035', 'sentence_has_long_word_pool_0330', 'sentence_has_long_word_pool_0262', 'sentence_has_long_word_pool_0237', 'sentence_has_long_word_pool_0159', 'sentence_has_long_word_pool_0039', 'sentence_has_long_word_pool_0071']"
