run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0231,aababbaabb,B,A,B,B,False,0.0,none,resample_per_test,minimal,0,"['random_more_a_than_b_pool_0057', 'random_more_a_than_b_pool_0447', 'random_more_a_than_b_pool_0151', 'random_more_a_than_b_pool_0113', 'random_more_a_than_b_pool_0389', 'random_more_a_than_b_pool_0002', 'random_more_a_than_b_pool_0145', 'random_more_a_than_b_pool_0327', 'random_more_a_than_b_pool_0335', 'random_more_a_than_b_pool_0498', 'random_more_a_than_b_pool_0367', 'random_more_a_than_b_pool_0347', 'random_more_a_than_b_pool_0094', 'random_more_a_than_b_pool_0104', 'random_more_a_than_b_pool_0103', 'random_more_a_than_b_pool_0109']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0206,aabaabbb,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['random_more_a_than_b_pool_0488', 'random_more_a_than_b_pool_0301', 'random_more_a_than_b_pool_0420', 'random_more_a_than_b_pool_0013', 'random_more_a_than_b_pool_0234', 'random_more_a_than_b_pool_0476', 'random_more_a_than_b_pool_0236', 'random_more_a_than_b_pool_0144', 'random_more_a_than_b_pool_0263', 'random_more_a_than_b_pool_0475', 'random_more_a_than_b_pool_0374', 'random_more_a_than_b_pool_0462', 'random_more_a_than_b_pool_0147', 'random_more_a_than_b_pool_0446', 'random_more_a_than_b_pool_0085', 'random_more_a_than_b_pool_0209']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0464,babbaaba,B,A,B,B,False,0.0,none,resample_per_test,minimal,2,"['random_more_a_than_b_pool_0013', 'random_more_a_than_b_pool_0168', 'random_more_a_than_b_pool_0116', 'random_more_a_than_b_pool_0418', 'random_more_a_than_b_pool_0428', 'random_more_a_than_b_pool_0246', 'random_more_a_than_b_pool_0326', 'random_more_a_than_b_pool_0370', 'random_more_a_than_b_pool_0459', 'random_more_a_than_b_pool_0308', 'random_more_a_than_b_pool_0472', 'random_more_a_than_b_pool_0216', 'random_more_a_than_b_pool_0236', 'random_more_a_than_b_pool_0481', 'random_more_a_than_b_pool_0345', 'random_more_a_than_b_pool_0316']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0028,bbbbbaaab,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['random_more_a_than_b_pool_0000', 'random_more_a_than_b_pool_0126', 'random_more_a_than_b_pool_0115', 'random_more_a_than_b_pool_0086', 'random_more_a_than_b_pool_0357', 'random_more_a_than_b_pool_0447', 'random_more_a_than_b_pool_0494', 'random_more_a_than_b_pool_0245', 'random_more_a_than_b_pool_0121', 'random_more_a_than_b_pool_0229', 'random_more_a_than_b_pool_0010', 'random_more_a_than_b_pool_0231', 'random_more_a_than_b_pool_0264', 'random_more_a_than_b_pool_0335', 'random_more_a_than_b_pool_0209', 'random_more_a_than_b_pool_0140']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0234,bbbbbaba,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['random_more_a_than_b_pool_0368', 'random_more_a_than_b_pool_0434', 'random_more_a_than_b_pool_0313', 'random_more_a_than_b_pool_0329', 'random_more_a_than_b_pool_0237', 'random_more_a_than_b_pool_0110', 'random_more_a_than_b_pool_0230', 'random_more_a_than_b_pool_0374', 'random_more_a_than_b_pool_0342', 'random_more_a_than_b_pool_0160', 'random_more_a_than_b_pool_0289', 'random_more_a_than_b_pool_0483', 'random_more_a_than_b_pool_0391', 'random_more_a_than_b_pool_0262', 'random_more_a_than_b_pool_0381', 'random_more_a_than_b_pool_0259']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0113,babaaabbbaaa,A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['random_more_a_than_b_pool_0428', 'random_more_a_than_b_pool_0147', 'random_more_a_than_b_pool_0455', 'random_more_a_than_b_pool_0393', 'random_more_a_than_b_pool_0246', 'random_more_a_than_b_pool_0239', 'random_more_a_than_b_pool_0014', 'random_more_a_than_b_pool_0101', 'random_more_a_than_b_pool_0454', 'random_more_a_than_b_pool_0080', 'random_more_a_than_b_pool_0106', 'random_more_a_than_b_pool_0439', 'random_more_a_than_b_pool_0415', 'random_more_a_than_b_pool_0091', 'random_more_a_than_b_pool_0040', 'random_more_a_than_b_pool_0261']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0104,babababba,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['random_more_a_than_b_pool_0328', 'random_more_a_than_b_pool_0093', 'random_more_a_than_b_pool_0044', 'random_more_a_than_b_pool_0239', 'random_more_a_than_b_pool_0383', 'random_more_a_than_b_pool_0496', 'random_more_a_than_b_pool_0056', 'random_more_a_than_b_pool_0182', 'random_more_a_than_b_pool_0418', 'random_more_a_than_b_pool_0083', 'random_more_a_than_b_pool_0253', 'random_more_a_than_b_pool_0465', 'random_more_a_than_b_pool_0071', 'random_more_a_than_b_pool_0213', 'random_more_a_than_b_pool_0035', 'random_more_a_than_b_pool_0002']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0147,abbbaabbbbbb,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['random_more_a_than_b_pool_0363', 'random_more_a_than_b_pool_0337', 'random_more_a_than_b_pool_0072', 'random_more_a_than_b_pool_0245', 'random_more_a_than_b_pool_0352', 'random_more_a_than_b_pool_0471', 'random_more_a_than_b_pool_0353', 'random_more_a_than_b_pool_0303', 'random_more_a_than_b_pool_0443', 'random_more_a_than_b_pool_0173', 'random_more_a_than_b_pool_0297', 'random_more_a_than_b_pool_0445', 'random_more_a_than_b_pool_0066', 'random_more_a_than_b_pool_0388', 'random_more_a_than_b_pool_0311', 'random_more_a_than_b_pool_0095']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0044,abaaabbaba,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['random_more_a_than_b_pool_0406', 'random_more_a_than_b_pool_0485', 'random_more_a_than_b_pool_0415', 'random_more_a_than_b_pool_0154', 'random_more_a_than_b_pool_0153', 'random_more_a_than_b_pool_0010', 'random_more_a_than_b_pool_0377', 'random_more_a_than_b_pool_0249', 'random_more_a_than_b_pool_0263', 'random_more_a_than_b_pool_0391', 'random_more_a_than_b_pool_0480', 'random_more_a_than_b_pool_0277', 'random_more_a_than_b_pool_0270', 'random_more_a_than_b_pool_0301', 'random_more_a_than_b_pool_0321', 'random_more_a_than_b_pool_0226']"
production_gpt54_20260602T001915Z_base_random_more_a_than_b_seed0,random_more_a_than_b,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_more_a_than_b/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_more_a_than_b_pool_0076,baaabbbabbbb,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['random_more_a_than_b_pool_0086', 'random_more_a_than_b_pool_0241', 'random_more_a_than_b_pool_0097', 'random_more_a_than_b_pool_0235', 'random_more_a_than_b_pool_0193', 'random_more_a_than_b_pool_0152', 'random_more_a_than_b_pool_0418', 'random_more_a_than_b_pool_0389', 'random_more_a_than_b_pool_0407', 'random_more_a_than_b_pool_0034', 'random_more_a_than_b_pool_0322', 'random_more_a_than_b_pool_0250', 'random_more_a_than_b_pool_0246', 'random_more_a_than_b_pool_0166', 'random_more_a_than_b_pool_0042', 'random_more_a_than_b_pool_0071']"
