run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0242,rggetocwe,B,A,B,B,False,0.0,none,resample_per_test,minimal,0,"['random_third_equals_third_from_last_pool_0070', 'random_third_equals_third_from_last_pool_0438', 'random_third_equals_third_from_last_pool_0129', 'random_third_equals_third_from_last_pool_0101', 'random_third_equals_third_from_last_pool_0391', 'random_third_equals_third_from_last_pool_0003', 'random_third_equals_third_from_last_pool_0172', 'random_third_equals_third_from_last_pool_0327', 'random_third_equals_third_from_last_pool_0334', 'random_third_equals_third_from_last_pool_0499', 'random_third_equals_third_from_last_pool_0371', 'random_third_equals_third_from_last_pool_0348', 'random_third_equals_third_from_last_pool_0084', 'random_third_equals_third_from_last_pool_0121', 'random_third_equals_third_from_last_pool_0113', 'random_third_equals_third_from_last_pool_0128']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0221,oenyqcgcqfcymy,B,A,B,B,False,0.0,none,resample_per_test,minimal,1,"['random_third_equals_third_from_last_pool_0481', 'random_third_equals_third_from_last_pool_0301', 'random_third_equals_third_from_last_pool_0413', 'random_third_equals_third_from_last_pool_0014', 'random_third_equals_third_from_last_pool_0244', 'random_third_equals_third_from_last_pool_0474', 'random_third_equals_third_from_last_pool_0248', 'random_third_equals_third_from_last_pool_0123', 'random_third_equals_third_from_last_pool_0280', 'random_third_equals_third_from_last_pool_0482', 'random_third_equals_third_from_last_pool_0367', 'random_third_equals_third_from_last_pool_0460', 'random_third_equals_third_from_last_pool_0175', 'random_third_equals_third_from_last_pool_0451', 'random_third_equals_third_from_last_pool_0072', 'random_third_equals_third_from_last_pool_0188']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0464,jucsxa,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['random_third_equals_third_from_last_pool_0014', 'random_third_equals_third_from_last_pool_0198', 'random_third_equals_third_from_last_pool_0136', 'random_third_equals_third_from_last_pool_0426', 'random_third_equals_third_from_last_pool_0440', 'random_third_equals_third_from_last_pool_0227', 'random_third_equals_third_from_last_pool_0326', 'random_third_equals_third_from_last_pool_0365', 'random_third_equals_third_from_last_pool_0461', 'random_third_equals_third_from_last_pool_0314', 'random_third_equals_third_from_last_pool_0471', 'random_third_equals_third_from_last_pool_0193', 'random_third_equals_third_from_last_pool_0248', 'random_third_equals_third_from_last_pool_0477', 'random_third_equals_third_from_last_pool_0345', 'random_third_equals_third_from_last_pool_0320']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0025,jbapxehvb,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['random_third_equals_third_from_last_pool_0000', 'random_third_equals_third_from_last_pool_0106', 'random_third_equals_third_from_last_pool_0102', 'random_third_equals_third_from_last_pool_0096', 'random_third_equals_third_from_last_pool_0352', 'random_third_equals_third_from_last_pool_0438', 'random_third_equals_third_from_last_pool_0494', 'random_third_equals_third_from_last_pool_0264', 'random_third_equals_third_from_last_pool_0142', 'random_third_equals_third_from_last_pool_0240', 'random_third_equals_third_from_last_pool_0008', 'random_third_equals_third_from_last_pool_0242', 'random_third_equals_third_from_last_pool_0249', 'random_third_equals_third_from_last_pool_0334', 'random_third_equals_third_from_last_pool_0188', 'random_third_equals_third_from_last_pool_0119']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0244,usgrev,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['random_third_equals_third_from_last_pool_0374', 'random_third_equals_third_from_last_pool_0427', 'random_third_equals_third_from_last_pool_0319', 'random_third_equals_third_from_last_pool_0329', 'random_third_equals_third_from_last_pool_0250', 'random_third_equals_third_from_last_pool_0131', 'random_third_equals_third_from_last_pool_0241', 'random_third_equals_third_from_last_pool_0367', 'random_third_equals_third_from_last_pool_0342', 'random_third_equals_third_from_last_pool_0186', 'random_third_equals_third_from_last_pool_0278', 'random_third_equals_third_from_last_pool_0479', 'random_third_equals_third_from_last_pool_0388', 'random_third_equals_third_from_last_pool_0247', 'random_third_equals_third_from_last_pool_0387', 'random_third_equals_third_from_last_pool_0245']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0101,ngldlwa,A,B,A,A,False,0.0,none,resample_per_test,minimal,5,"['random_third_equals_third_from_last_pool_0440', 'random_third_equals_third_from_last_pool_0175', 'random_third_equals_third_from_last_pool_0455', 'random_third_equals_third_from_last_pool_0393', 'random_third_equals_third_from_last_pool_0227', 'random_third_equals_third_from_last_pool_0252', 'random_third_equals_third_from_last_pool_0015', 'random_third_equals_third_from_last_pool_0111', 'random_third_equals_third_from_last_pool_0453', 'random_third_equals_third_from_last_pool_0068', 'random_third_equals_third_from_last_pool_0095', 'random_third_equals_third_from_last_pool_0433', 'random_third_equals_third_from_last_pool_0424', 'random_third_equals_third_from_last_pool_0099', 'random_third_equals_third_from_last_pool_0039', 'random_third_equals_third_from_last_pool_0246']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0121,judlfpbwjzn,B,A,B,B,False,0.0,none,resample_per_test,minimal,6,"['random_third_equals_third_from_last_pool_0328', 'random_third_equals_third_from_last_pool_0107', 'random_third_equals_third_from_last_pool_0045', 'random_third_equals_third_from_last_pool_0252', 'random_third_equals_third_from_last_pool_0375', 'random_third_equals_third_from_last_pool_0496', 'random_third_equals_third_from_last_pool_0066', 'random_third_equals_third_from_last_pool_0158', 'random_third_equals_third_from_last_pool_0426', 'random_third_equals_third_from_last_pool_0094', 'random_third_equals_third_from_last_pool_0275', 'random_third_equals_third_from_last_pool_0465', 'random_third_equals_third_from_last_pool_0082', 'random_third_equals_third_from_last_pool_0191', 'random_third_equals_third_from_last_pool_0036', 'random_third_equals_third_from_last_pool_0003']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0175,scuplgcfcknd,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['random_third_equals_third_from_last_pool_0369', 'random_third_equals_third_from_last_pool_0336', 'random_third_equals_third_from_last_pool_0059', 'random_third_equals_third_from_last_pool_0264', 'random_third_equals_third_from_last_pool_0356', 'random_third_equals_third_from_last_pool_0472', 'random_third_equals_third_from_last_pool_0357', 'random_third_equals_third_from_last_pool_0303', 'random_third_equals_third_from_last_pool_0449', 'random_third_equals_third_from_last_pool_0151', 'random_third_equals_third_from_last_pool_0296', 'random_third_equals_third_from_last_pool_0437', 'random_third_equals_third_from_last_pool_0078', 'random_third_equals_third_from_last_pool_0386', 'random_third_equals_third_from_last_pool_0315', 'random_third_equals_third_from_last_pool_0085']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0045,fzwlahbwmr,A,B,A,A,False,0.0,none,resample_per_test,minimal,8,"['random_third_equals_third_from_last_pool_0407', 'random_third_equals_third_from_last_pool_0480', 'random_third_equals_third_from_last_pool_0424', 'random_third_equals_third_from_last_pool_0134', 'random_third_equals_third_from_last_pool_0178', 'random_third_equals_third_from_last_pool_0008', 'random_third_equals_third_from_last_pool_0372', 'random_third_equals_third_from_last_pool_0267', 'random_third_equals_third_from_last_pool_0280', 'random_third_equals_third_from_last_pool_0388', 'random_third_equals_third_from_last_pool_0486', 'random_third_equals_third_from_last_pool_0288', 'random_third_equals_third_from_last_pool_0283', 'random_third_equals_third_from_last_pool_0301', 'random_third_equals_third_from_last_pool_0323', 'random_third_equals_third_from_last_pool_0205']"
production_gpt54_20260602T001915Z_base_random_third_equals_third_from_last_seed0,random_third_equals_third_from_last,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_third_equals_third_from_last/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_third_equals_third_from_last_pool_0086,iixuncuurztml,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['random_third_equals_third_from_last_pool_0096', 'random_third_equals_third_from_last_pool_0258', 'random_third_equals_third_from_last_pool_0088', 'random_third_equals_third_from_last_pool_0215', 'random_third_equals_third_from_last_pool_0214', 'random_third_equals_third_from_last_pool_0130', 'random_third_equals_third_from_last_pool_0426', 'random_third_equals_third_from_last_pool_0391', 'random_third_equals_third_from_last_pool_0403', 'random_third_equals_third_from_last_pool_0033', 'random_third_equals_third_from_last_pool_0316', 'random_third_equals_third_from_last_pool_0269', 'random_third_equals_third_from_last_pool_0227', 'random_third_equals_third_from_last_pool_0147', 'random_third_equals_third_from_last_pool_0043', 'random_third_equals_third_from_last_pool_0082']"
