run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0236,"you wo n't like roger , but you will quickly recognize him .",B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['question_detection_with_punctuation_pool_0058', 'question_detection_with_punctuation_pool_0438', 'question_detection_with_punctuation_pool_0139', 'question_detection_with_punctuation_pool_0111', 'question_detection_with_punctuation_pool_0377', 'question_detection_with_punctuation_pool_0004', 'question_detection_with_punctuation_pool_0159', 'question_detection_with_punctuation_pool_0343', 'question_detection_with_punctuation_pool_0349', 'question_detection_with_punctuation_pool_0499', 'question_detection_with_punctuation_pool_0352', 'question_detection_with_punctuation_pool_0362', 'question_detection_with_punctuation_pool_0098', 'question_detection_with_punctuation_pool_0103', 'question_detection_with_punctuation_pool_0100', 'question_detection_with_punctuation_pool_0110']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0211,a woman 's pic directed with resonance by ilya chaiken .,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['question_detection_with_punctuation_pool_0486', 'question_detection_with_punctuation_pool_0302', 'question_detection_with_punctuation_pool_0407', 'question_detection_with_punctuation_pool_0011', 'question_detection_with_punctuation_pool_0244', 'question_detection_with_punctuation_pool_0470', 'question_detection_with_punctuation_pool_0247', 'question_detection_with_punctuation_pool_0131', 'question_detection_with_punctuation_pool_0274', 'question_detection_with_punctuation_pool_0479', 'question_detection_with_punctuation_pool_0381', 'question_detection_with_punctuation_pool_0468', 'question_detection_with_punctuation_pool_0164', 'question_detection_with_punctuation_pool_0455', 'question_detection_with_punctuation_pool_0086', 'question_detection_with_punctuation_pool_0202']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0458,"a gorgeous , witty , seductive movie .",B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['question_detection_with_punctuation_pool_0011', 'question_detection_with_punctuation_pool_0183', 'question_detection_with_punctuation_pool_0126', 'question_detection_with_punctuation_pool_0426', 'question_detection_with_punctuation_pool_0443', 'question_detection_with_punctuation_pool_0235', 'question_detection_with_punctuation_pool_0317', 'question_detection_with_punctuation_pool_0380', 'question_detection_with_punctuation_pool_0456', 'question_detection_with_punctuation_pool_0323', 'question_detection_with_punctuation_pool_0464', 'question_detection_with_punctuation_pool_0209', 'question_detection_with_punctuation_pool_0247', 'question_detection_with_punctuation_pool_0472', 'question_detection_with_punctuation_pool_0360', 'question_detection_with_punctuation_pool_0335']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0026,the iditarod lasts for days - this just felt like it did .,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['question_detection_with_punctuation_pool_0002', 'question_detection_with_punctuation_pool_0116', 'question_detection_with_punctuation_pool_0112', 'question_detection_with_punctuation_pool_0082', 'question_detection_with_punctuation_pool_0368', 'question_detection_with_punctuation_pool_0438', 'question_detection_with_punctuation_pool_0494', 'question_detection_with_punctuation_pool_0261', 'question_detection_with_punctuation_pool_0135', 'question_detection_with_punctuation_pool_0227', 'question_detection_with_punctuation_pool_0006', 'question_detection_with_punctuation_pool_0236', 'question_detection_with_punctuation_pool_0251', 'question_detection_with_punctuation_pool_0349', 'question_detection_with_punctuation_pool_0202', 'question_detection_with_punctuation_pool_0127']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0244,turns potentially forgettable formula into something strangely diverting .,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['question_detection_with_punctuation_pool_0355', 'question_detection_with_punctuation_pool_0428', 'question_detection_with_punctuation_pool_0332', 'question_detection_with_punctuation_pool_0345', 'question_detection_with_punctuation_pool_0248', 'question_detection_with_punctuation_pool_0117', 'question_detection_with_punctuation_pool_0234', 'question_detection_with_punctuation_pool_0381', 'question_detection_with_punctuation_pool_0358', 'question_detection_with_punctuation_pool_0172', 'question_detection_with_punctuation_pool_0288', 'question_detection_with_punctuation_pool_0480', 'question_detection_with_punctuation_pool_0400', 'question_detection_with_punctuation_pool_0250', 'question_detection_with_punctuation_pool_0373', 'question_detection_with_punctuation_pool_0245']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0111,What river does the Grand Coulee Dam dam ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['question_detection_with_punctuation_pool_0443', 'question_detection_with_punctuation_pool_0164', 'question_detection_with_punctuation_pool_0461', 'question_detection_with_punctuation_pool_0403', 'question_detection_with_punctuation_pool_0235', 'question_detection_with_punctuation_pool_0253', 'question_detection_with_punctuation_pool_0012', 'question_detection_with_punctuation_pool_0097', 'question_detection_with_punctuation_pool_0445', 'question_detection_with_punctuation_pool_0083', 'question_detection_with_punctuation_pool_0107', 'question_detection_with_punctuation_pool_0432', 'question_detection_with_punctuation_pool_0424', 'question_detection_with_punctuation_pool_0089', 'question_detection_with_punctuation_pool_0035', 'question_detection_with_punctuation_pool_0246']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0103,but it still jingles in the pocket .,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['question_detection_with_punctuation_pool_0344', 'question_detection_with_punctuation_pool_0091', 'question_detection_with_punctuation_pool_0052', 'question_detection_with_punctuation_pool_0253', 'question_detection_with_punctuation_pool_0389', 'question_detection_with_punctuation_pool_0495', 'question_detection_with_punctuation_pool_0056', 'question_detection_with_punctuation_pool_0170', 'question_detection_with_punctuation_pool_0426', 'question_detection_with_punctuation_pool_0080', 'question_detection_with_punctuation_pool_0270', 'question_detection_with_punctuation_pool_0459', 'question_detection_with_punctuation_pool_0068', 'question_detection_with_punctuation_pool_0206', 'question_detection_with_punctuation_pool_0039', 'question_detection_with_punctuation_pool_0004']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0164,just one bad idea after another .,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['question_detection_with_punctuation_pool_0348', 'question_detection_with_punctuation_pool_0350', 'question_detection_with_punctuation_pool_0072', 'question_detection_with_punctuation_pool_0261', 'question_detection_with_punctuation_pool_0330', 'question_detection_with_punctuation_pool_0477', 'question_detection_with_punctuation_pool_0333', 'question_detection_with_punctuation_pool_0296', 'question_detection_with_punctuation_pool_0453', 'question_detection_with_punctuation_pool_0160', 'question_detection_with_punctuation_pool_0292', 'question_detection_with_punctuation_pool_0435', 'question_detection_with_punctuation_pool_0063', 'question_detection_with_punctuation_pool_0399', 'question_detection_with_punctuation_pool_0327', 'question_detection_with_punctuation_pool_0099']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0052,What direction do most baseball pitchers pitch toward ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['question_detection_with_punctuation_pool_0395', 'question_detection_with_punctuation_pool_0485', 'question_detection_with_punctuation_pool_0424', 'question_detection_with_punctuation_pool_0141', 'question_detection_with_punctuation_pool_0167', 'question_detection_with_punctuation_pool_0006', 'question_detection_with_punctuation_pool_0385', 'question_detection_with_punctuation_pool_0264', 'question_detection_with_punctuation_pool_0274', 'question_detection_with_punctuation_pool_0400', 'question_detection_with_punctuation_pool_0483', 'question_detection_with_punctuation_pool_0284', 'question_detection_with_punctuation_pool_0278', 'question_detection_with_punctuation_pool_0302', 'question_detection_with_punctuation_pool_0340', 'question_detection_with_punctuation_pool_0228']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0074,"the film is powerful , accessible and funny .",B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['question_detection_with_punctuation_pool_0082', 'question_detection_with_punctuation_pool_0255', 'question_detection_with_punctuation_pool_0102', 'question_detection_with_punctuation_pool_0231', 'question_detection_with_punctuation_pool_0203', 'question_detection_with_punctuation_pool_0140', 'question_detection_with_punctuation_pool_0426', 'question_detection_with_punctuation_pool_0377', 'question_detection_with_punctuation_pool_0413', 'question_detection_with_punctuation_pool_0031', 'question_detection_with_punctuation_pool_0314', 'question_detection_with_punctuation_pool_0265', 'question_detection_with_punctuation_pool_0235', 'question_detection_with_punctuation_pool_0156', 'question_detection_with_punctuation_pool_0048', 'question_detection_with_punctuation_pool_0068']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0218,How much snow equals an inch of rain ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,10,"['question_detection_with_punctuation_pool_0126', 'question_detection_with_punctuation_pool_0201', 'question_detection_with_punctuation_pool_0351', 'question_detection_with_punctuation_pool_0335', 'question_detection_with_punctuation_pool_0325', 'question_detection_with_punctuation_pool_0130', 'question_detection_with_punctuation_pool_0049', 'question_detection_with_punctuation_pool_0080', 'question_detection_with_punctuation_pool_0341', 'question_detection_with_punctuation_pool_0171', 'question_detection_with_punctuation_pool_0257', 'question_detection_with_punctuation_pool_0174', 'question_detection_with_punctuation_pool_0394', 'question_detection_with_punctuation_pool_0108', 'question_detection_with_punctuation_pool_0105', 'question_detection_with_punctuation_pool_0104']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0411,What color tennis balls are used at Wimbledon ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,11,"['question_detection_with_punctuation_pool_0115', 'question_detection_with_punctuation_pool_0272', 'question_detection_with_punctuation_pool_0133', 'question_detection_with_punctuation_pool_0274', 'question_detection_with_punctuation_pool_0045', 'question_detection_with_punctuation_pool_0227', 'question_detection_with_punctuation_pool_0363', 'question_detection_with_punctuation_pool_0420', 'question_detection_with_punctuation_pool_0316', 'question_detection_with_punctuation_pool_0252', 'question_detection_with_punctuation_pool_0148', 'question_detection_with_punctuation_pool_0254', 'question_detection_with_punctuation_pool_0228', 'question_detection_with_punctuation_pool_0187', 'question_detection_with_punctuation_pool_0179', 'question_detection_with_punctuation_pool_0429']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0388,the film tunes into a grief that could lead a man across centuries .,B,A,A,A,True,0.0,none,resample_per_test,minimal,12,"['question_detection_with_punctuation_pool_0031', 'question_detection_with_punctuation_pool_0156', 'question_detection_with_punctuation_pool_0087', 'question_detection_with_punctuation_pool_0439', 'question_detection_with_punctuation_pool_0179', 'question_detection_with_punctuation_pool_0044', 'question_detection_with_punctuation_pool_0076', 'question_detection_with_punctuation_pool_0493', 'question_detection_with_punctuation_pool_0255', 'question_detection_with_punctuation_pool_0464', 'question_detection_with_punctuation_pool_0277', 'question_detection_with_punctuation_pool_0188', 'question_detection_with_punctuation_pool_0268', 'question_detection_with_punctuation_pool_0166', 'question_detection_with_punctuation_pool_0370', 'question_detection_with_punctuation_pool_0141']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0398,How many months does it take the moon to revolve around the Earth ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,13,"['question_detection_with_punctuation_pool_0185', 'question_detection_with_punctuation_pool_0160', 'question_detection_with_punctuation_pool_0429', 'question_detection_with_punctuation_pool_0262', 'question_detection_with_punctuation_pool_0082', 'question_detection_with_punctuation_pool_0363', 'question_detection_with_punctuation_pool_0007', 'question_detection_with_punctuation_pool_0184', 'question_detection_with_punctuation_pool_0109', 'question_detection_with_punctuation_pool_0352', 'question_detection_with_punctuation_pool_0254', 'question_detection_with_punctuation_pool_0264', 'question_detection_with_punctuation_pool_0420', 'question_detection_with_punctuation_pool_0113', 'question_detection_with_punctuation_pool_0449', 'question_detection_with_punctuation_pool_0468']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0201,Where can I find information on becoming a journalist ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,14,"['question_detection_with_punctuation_pool_0310', 'question_detection_with_punctuation_pool_0026', 'question_detection_with_punctuation_pool_0426', 'question_detection_with_punctuation_pool_0113', 'question_detection_with_punctuation_pool_0408', 'question_detection_with_punctuation_pool_0238', 'question_detection_with_punctuation_pool_0387', 'question_detection_with_punctuation_pool_0031', 'question_detection_with_punctuation_pool_0436', 'question_detection_with_punctuation_pool_0192', 'question_detection_with_punctuation_pool_0316', 'question_detection_with_punctuation_pool_0362', 'question_detection_with_punctuation_pool_0022', 'question_detection_with_punctuation_pool_0282', 'question_detection_with_punctuation_pool_0135', 'question_detection_with_punctuation_pool_0203']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0007,a marvel like none you 've seen .,B,A,A,A,True,0.0,none,resample_per_test,minimal,15,"['question_detection_with_punctuation_pool_0040', 'question_detection_with_punctuation_pool_0428', 'question_detection_with_punctuation_pool_0422', 'question_detection_with_punctuation_pool_0171', 'question_detection_with_punctuation_pool_0021', 'question_detection_with_punctuation_pool_0116', 'question_detection_with_punctuation_pool_0444', 'question_detection_with_punctuation_pool_0016', 'question_detection_with_punctuation_pool_0063', 'question_detection_with_punctuation_pool_0451', 'question_detection_with_punctuation_pool_0475', 'question_detection_with_punctuation_pool_0242', 'question_detection_with_punctuation_pool_0454', 'question_detection_with_punctuation_pool_0132', 'question_detection_with_punctuation_pool_0496', 'question_detection_with_punctuation_pool_0278']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0340,What was the name of Randy Craft 's lawyer ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,16,"['question_detection_with_punctuation_pool_0140', 'question_detection_with_punctuation_pool_0166', 'question_detection_with_punctuation_pool_0215', 'question_detection_with_punctuation_pool_0141', 'question_detection_with_punctuation_pool_0396', 'question_detection_with_punctuation_pool_0154', 'question_detection_with_punctuation_pool_0110', 'question_detection_with_punctuation_pool_0031', 'question_detection_with_punctuation_pool_0400', 'question_detection_with_punctuation_pool_0285', 'question_detection_with_punctuation_pool_0193', 'question_detection_with_punctuation_pool_0266', 'question_detection_with_punctuation_pool_0074', 'question_detection_with_punctuation_pool_0387', 'question_detection_with_punctuation_pool_0388', 'question_detection_with_punctuation_pool_0104']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0249,coughs and sputters on its own postmodern conceit .,B,A,A,A,True,0.0,none,resample_per_test,minimal,17,"['question_detection_with_punctuation_pool_0090', 'question_detection_with_punctuation_pool_0118', 'question_detection_with_punctuation_pool_0046', 'question_detection_with_punctuation_pool_0257', 'question_detection_with_punctuation_pool_0323', 'question_detection_with_punctuation_pool_0163', 'question_detection_with_punctuation_pool_0007', 'question_detection_with_punctuation_pool_0250', 'question_detection_with_punctuation_pool_0367', 'question_detection_with_punctuation_pool_0235', 'question_detection_with_punctuation_pool_0294', 'question_detection_with_punctuation_pool_0475', 'question_detection_with_punctuation_pool_0203', 'question_detection_with_punctuation_pool_0041', 'question_detection_with_punctuation_pool_0492', 'question_detection_with_punctuation_pool_0189']"
production_gpt54_20260602T001915Z_base_question_detection_with_punctuation_seed0,question_detection_with_punctuation,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/question_detection_with_punctuation/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",question_detection_with_punctuation_pool_0199,nervous breakdowns are not entertaining .,B,A,A,A,True,0.0,none,resample_per_test,minimal,18,"['question_detection_with_punctuation_pool_0289', 'question_detection_with_punctuation_pool_0000', 'question_detection_with_punctuation_pool_0298', 'question_detection_with_punctuation_pool_0253', 'question_detection_with_punctuation_pool_0454', 'question_detection_with_punctuation_pool_0198', 'question_detection_with_punctuation_pool_0310', 'question_detection_with_punctuation_pool_0162', 'question_detection_with_punctuation_pool_0015', 'question_detection_with_punctuation_pool_0180', 'question_detection_with_punctuation_pool_0287', 'question_detection_with_punctuation_pool_0014', 'question_detection_with_punctuation_pool_0469', 'question_detection_with_punctuation_pool_0362', 'question_detection_with_punctuation_pool_0038', 'question_detection_with_punctuation_pool_0496']"
