run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0231,xixckunayv,B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['random_exactly_two_digits_pool_0057', 'random_exactly_two_digits_pool_0447', 'random_exactly_two_digits_pool_0151', 'random_exactly_two_digits_pool_0113', 'random_exactly_two_digits_pool_0389', 'random_exactly_two_digits_pool_0002', 'random_exactly_two_digits_pool_0145', 'random_exactly_two_digits_pool_0327', 'random_exactly_two_digits_pool_0335', 'random_exactly_two_digits_pool_0498', 'random_exactly_two_digits_pool_0367', 'random_exactly_two_digits_pool_0347', 'random_exactly_two_digits_pool_0094', 'random_exactly_two_digits_pool_0104', 'random_exactly_two_digits_pool_0103', 'random_exactly_two_digits_pool_0109']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0206,pz7a95enzaj,B,A,B,B,False,0.0,none,resample_per_test,minimal,1,"['random_exactly_two_digits_pool_0488', 'random_exactly_two_digits_pool_0301', 'random_exactly_two_digits_pool_0420', 'random_exactly_two_digits_pool_0013', 'random_exactly_two_digits_pool_0234', 'random_exactly_two_digits_pool_0476', 'random_exactly_two_digits_pool_0236', 'random_exactly_two_digits_pool_0144', 'random_exactly_two_digits_pool_0263', 'random_exactly_two_digits_pool_0475', 'random_exactly_two_digits_pool_0374', 'random_exactly_two_digits_pool_0462', 'random_exactly_two_digits_pool_0147', 'random_exactly_two_digits_pool_0446', 'random_exactly_two_digits_pool_0085', 'random_exactly_two_digits_pool_0209']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0464,tvdjvjslfy,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['random_exactly_two_digits_pool_0013', 'random_exactly_two_digits_pool_0168', 'random_exactly_two_digits_pool_0116', 'random_exactly_two_digits_pool_0418', 'random_exactly_two_digits_pool_0428', 'random_exactly_two_digits_pool_0246', 'random_exactly_two_digits_pool_0326', 'random_exactly_two_digits_pool_0370', 'random_exactly_two_digits_pool_0459', 'random_exactly_two_digits_pool_0308', 'random_exactly_two_digits_pool_0472', 'random_exactly_two_digits_pool_0216', 'random_exactly_two_digits_pool_0236', 'random_exactly_two_digits_pool_0481', 'random_exactly_two_digits_pool_0345', 'random_exactly_two_digits_pool_0316']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0028,svxplv7twzea,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['random_exactly_two_digits_pool_0000', 'random_exactly_two_digits_pool_0126', 'random_exactly_two_digits_pool_0115', 'random_exactly_two_digits_pool_0086', 'random_exactly_two_digits_pool_0357', 'random_exactly_two_digits_pool_0447', 'random_exactly_two_digits_pool_0494', 'random_exactly_two_digits_pool_0245', 'random_exactly_two_digits_pool_0121', 'random_exactly_two_digits_pool_0229', 'random_exactly_two_digits_pool_0010', 'random_exactly_two_digits_pool_0231', 'random_exactly_two_digits_pool_0264', 'random_exactly_two_digits_pool_0335', 'random_exactly_two_digits_pool_0209', 'random_exactly_two_digits_pool_0140']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0234,d4ditosyi,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['random_exactly_two_digits_pool_0368', 'random_exactly_two_digits_pool_0434', 'random_exactly_two_digits_pool_0313', 'random_exactly_two_digits_pool_0329', 'random_exactly_two_digits_pool_0237', 'random_exactly_two_digits_pool_0110', 'random_exactly_two_digits_pool_0230', 'random_exactly_two_digits_pool_0374', 'random_exactly_two_digits_pool_0342', 'random_exactly_two_digits_pool_0160', 'random_exactly_two_digits_pool_0289', 'random_exactly_two_digits_pool_0483', 'random_exactly_two_digits_pool_0391', 'random_exactly_two_digits_pool_0262', 'random_exactly_two_digits_pool_0381', 'random_exactly_two_digits_pool_0259']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0113,sneuwtpv93to,A,B,A,A,False,0.0,none,resample_per_test,minimal,5,"['random_exactly_two_digits_pool_0428', 'random_exactly_two_digits_pool_0147', 'random_exactly_two_digits_pool_0455', 'random_exactly_two_digits_pool_0393', 'random_exactly_two_digits_pool_0246', 'random_exactly_two_digits_pool_0239', 'random_exactly_two_digits_pool_0014', 'random_exactly_two_digits_pool_0101', 'random_exactly_two_digits_pool_0454', 'random_exactly_two_digits_pool_0080', 'random_exactly_two_digits_pool_0106', 'random_exactly_two_digits_pool_0439', 'random_exactly_two_digits_pool_0415', 'random_exactly_two_digits_pool_0091', 'random_exactly_two_digits_pool_0040', 'random_exactly_two_digits_pool_0261']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0104,ckomymrp,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['random_exactly_two_digits_pool_0328', 'random_exactly_two_digits_pool_0093', 'random_exactly_two_digits_pool_0044', 'random_exactly_two_digits_pool_0239', 'random_exactly_two_digits_pool_0383', 'random_exactly_two_digits_pool_0496', 'random_exactly_two_digits_pool_0056', 'random_exactly_two_digits_pool_0182', 'random_exactly_two_digits_pool_0418', 'random_exactly_two_digits_pool_0083', 'random_exactly_two_digits_pool_0253', 'random_exactly_two_digits_pool_0465', 'random_exactly_two_digits_pool_0071', 'random_exactly_two_digits_pool_0213', 'random_exactly_two_digits_pool_0035', 'random_exactly_two_digits_pool_0002']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0147,qviyj0t9f4,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['random_exactly_two_digits_pool_0363', 'random_exactly_two_digits_pool_0337', 'random_exactly_two_digits_pool_0072', 'random_exactly_two_digits_pool_0245', 'random_exactly_two_digits_pool_0352', 'random_exactly_two_digits_pool_0471', 'random_exactly_two_digits_pool_0353', 'random_exactly_two_digits_pool_0303', 'random_exactly_two_digits_pool_0443', 'random_exactly_two_digits_pool_0173', 'random_exactly_two_digits_pool_0297', 'random_exactly_two_digits_pool_0445', 'random_exactly_two_digits_pool_0066', 'random_exactly_two_digits_pool_0388', 'random_exactly_two_digits_pool_0311', 'random_exactly_two_digits_pool_0095']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0044,baixb4v9wy,A,B,A,A,False,0.0,none,resample_per_test,minimal,8,"['random_exactly_two_digits_pool_0406', 'random_exactly_two_digits_pool_0485', 'random_exactly_two_digits_pool_0415', 'random_exactly_two_digits_pool_0154', 'random_exactly_two_digits_pool_0153', 'random_exactly_two_digits_pool_0010', 'random_exactly_two_digits_pool_0377', 'random_exactly_two_digits_pool_0249', 'random_exactly_two_digits_pool_0263', 'random_exactly_two_digits_pool_0391', 'random_exactly_two_digits_pool_0480', 'random_exactly_two_digits_pool_0277', 'random_exactly_two_digits_pool_0270', 'random_exactly_two_digits_pool_0301', 'random_exactly_two_digits_pool_0321', 'random_exactly_two_digits_pool_0226']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0076,8md8v7x2,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['random_exactly_two_digits_pool_0086', 'random_exactly_two_digits_pool_0241', 'random_exactly_two_digits_pool_0097', 'random_exactly_two_digits_pool_0235', 'random_exactly_two_digits_pool_0193', 'random_exactly_two_digits_pool_0152', 'random_exactly_two_digits_pool_0418', 'random_exactly_two_digits_pool_0389', 'random_exactly_two_digits_pool_0407', 'random_exactly_two_digits_pool_0034', 'random_exactly_two_digits_pool_0322', 'random_exactly_two_digits_pool_0250', 'random_exactly_two_digits_pool_0246', 'random_exactly_two_digits_pool_0166', 'random_exactly_two_digits_pool_0042', 'random_exactly_two_digits_pool_0071']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0219,7tk8xgabbeho,A,B,A,A,False,0.0,none,resample_per_test,minimal,10,"['random_exactly_two_digits_pool_0116', 'random_exactly_two_digits_pool_0207', 'random_exactly_two_digits_pool_0364', 'random_exactly_two_digits_pool_0316', 'random_exactly_two_digits_pool_0343', 'random_exactly_two_digits_pool_0142', 'random_exactly_two_digits_pool_0054', 'random_exactly_two_digits_pool_0083', 'random_exactly_two_digits_pool_0323', 'random_exactly_two_digits_pool_0159', 'random_exactly_two_digits_pool_0243', 'random_exactly_two_digits_pool_0183', 'random_exactly_two_digits_pool_0385', 'random_exactly_two_digits_pool_0112', 'random_exactly_two_digits_pool_0107', 'random_exactly_two_digits_pool_0102']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0404,fmb5yvq3xkfq,A,B,B,B,True,0.0,none,resample_per_test,minimal,11,"['random_exactly_two_digits_pool_0124', 'random_exactly_two_digits_pool_0254', 'random_exactly_two_digits_pool_0148', 'random_exactly_two_digits_pool_0263', 'random_exactly_two_digits_pool_0052', 'random_exactly_two_digits_pool_0229', 'random_exactly_two_digits_pool_0349', 'random_exactly_two_digits_pool_0411', 'random_exactly_two_digits_pool_0325', 'random_exactly_two_digits_pool_0265', 'random_exactly_two_digits_pool_0136', 'random_exactly_two_digits_pool_0267', 'random_exactly_two_digits_pool_0226', 'random_exactly_two_digits_pool_0198', 'random_exactly_two_digits_pool_0167', 'random_exactly_two_digits_pool_0436']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0398,zqwmuphmu,B,A,A,A,True,0.0,none,resample_per_test,minimal,12,"['random_exactly_two_digits_pool_0034', 'random_exactly_two_digits_pool_0166', 'random_exactly_two_digits_pool_0087', 'random_exactly_two_digits_pool_0449', 'random_exactly_two_digits_pool_0167', 'random_exactly_two_digits_pool_0051', 'random_exactly_two_digits_pool_0077', 'random_exactly_two_digits_pool_0493', 'random_exactly_two_digits_pool_0241', 'random_exactly_two_digits_pool_0472', 'random_exactly_two_digits_pool_0268', 'random_exactly_two_digits_pool_0199', 'random_exactly_two_digits_pool_0279', 'random_exactly_two_digits_pool_0180', 'random_exactly_two_digits_pool_0359', 'random_exactly_two_digits_pool_0154']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0387,6tdi1hcu,A,B,A,A,False,0.0,none,resample_per_test,minimal,13,"['random_exactly_two_digits_pool_0170', 'random_exactly_two_digits_pool_0173', 'random_exactly_two_digits_pool_0436', 'random_exactly_two_digits_pool_0248', 'random_exactly_two_digits_pool_0086', 'random_exactly_two_digits_pool_0349', 'random_exactly_two_digits_pool_0011', 'random_exactly_two_digits_pool_0197', 'random_exactly_two_digits_pool_0108', 'random_exactly_two_digits_pool_0367', 'random_exactly_two_digits_pool_0267', 'random_exactly_two_digits_pool_0249', 'random_exactly_two_digits_pool_0411', 'random_exactly_two_digits_pool_0118', 'random_exactly_two_digits_pool_0435', 'random_exactly_two_digits_pool_0462']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0207,ccv22bcw,A,B,B,B,True,0.0,none,resample_per_test,minimal,14,"['random_exactly_two_digits_pool_0315', 'random_exactly_two_digits_pool_0028', 'random_exactly_two_digits_pool_0418', 'random_exactly_two_digits_pool_0118', 'random_exactly_two_digits_pool_0400', 'random_exactly_two_digits_pool_0252', 'random_exactly_two_digits_pool_0397', 'random_exactly_two_digits_pool_0034', 'random_exactly_two_digits_pool_0425', 'random_exactly_two_digits_pool_0203', 'random_exactly_two_digits_pool_0325', 'random_exactly_two_digits_pool_0347', 'random_exactly_two_digits_pool_0026', 'random_exactly_two_digits_pool_0286', 'random_exactly_two_digits_pool_0121', 'random_exactly_two_digits_pool_0193']"
production_gpt54_20260602T001915Z_base_random_exactly_two_digits_seed0,random_exactly_two_digits,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/random_exactly_two_digits/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",random_exactly_two_digits_pool_0011,y82dka5e,B,A,B,B,False,0.0,none,resample_per_test,minimal,15,"['random_exactly_two_digits_pool_0038', 'random_exactly_two_digits_pool_0434', 'random_exactly_two_digits_pool_0433', 'random_exactly_two_digits_pool_0159', 'random_exactly_two_digits_pool_0023', 'random_exactly_two_digits_pool_0126', 'random_exactly_two_digits_pool_0453', 'random_exactly_two_digits_pool_0009', 'random_exactly_two_digits_pool_0066', 'random_exactly_two_digits_pool_0438', 'random_exactly_two_digits_pool_0470', 'random_exactly_two_digits_pool_0257', 'random_exactly_two_digits_pool_0444', 'random_exactly_two_digits_pool_0119', 'random_exactly_two_digits_pool_0495', 'random_exactly_two_digits_pool_0270']"
