run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0245,"Through TV and newspapers , I hear constantly about identity fraud using stolen social security information.",B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['camouflaged_second_word_longer_than_penultimate_pool_0067', 'camouflaged_second_word_longer_than_penultimate_pool_0440', 'camouflaged_second_word_longer_than_penultimate_pool_0136', 'camouflaged_second_word_longer_than_penultimate_pool_0102', 'camouflaged_second_word_longer_than_penultimate_pool_0391', 'camouflaged_second_word_longer_than_penultimate_pool_0001', 'camouflaged_second_word_longer_than_penultimate_pool_0162', 'camouflaged_second_word_longer_than_penultimate_pool_0328', 'camouflaged_second_word_longer_than_penultimate_pool_0332', 'camouflaged_second_word_longer_than_penultimate_pool_0497', 'camouflaged_second_word_longer_than_penultimate_pool_0370', 'camouflaged_second_word_longer_than_penultimate_pool_0351', 'camouflaged_second_word_longer_than_penultimate_pool_0087', 'camouflaged_second_word_longer_than_penultimate_pool_0113', 'camouflaged_second_word_longer_than_penultimate_pool_0111', 'camouflaged_second_word_longer_than_penultimate_pool_0118']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0218,I saw a site that charges $0.70 per mile.,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['camouflaged_second_word_longer_than_penultimate_pool_0488', 'camouflaged_second_word_longer_than_penultimate_pool_0308', 'camouflaged_second_word_longer_than_penultimate_pool_0411', 'camouflaged_second_word_longer_than_penultimate_pool_0019', 'camouflaged_second_word_longer_than_penultimate_pool_0247', 'camouflaged_second_word_longer_than_penultimate_pool_0475', 'camouflaged_second_word_longer_than_penultimate_pool_0248', 'camouflaged_second_word_longer_than_penultimate_pool_0131', 'camouflaged_second_word_longer_than_penultimate_pool_0277', 'camouflaged_second_word_longer_than_penultimate_pool_0477', 'camouflaged_second_word_longer_than_penultimate_pool_0369', 'camouflaged_second_word_longer_than_penultimate_pool_0466', 'camouflaged_second_word_longer_than_penultimate_pool_0167', 'camouflaged_second_word_longer_than_penultimate_pool_0452', 'camouflaged_second_word_longer_than_penultimate_pool_0079', 'camouflaged_second_word_longer_than_penultimate_pool_0198']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0460,"Winter refused comment, referring all questions to the public relations office.",B,A,B,B,False,0.0,none,resample_per_test,minimal,2,"['camouflaged_second_word_longer_than_penultimate_pool_0019', 'camouflaged_second_word_longer_than_penultimate_pool_0178', 'camouflaged_second_word_longer_than_penultimate_pool_0127', 'camouflaged_second_word_longer_than_penultimate_pool_0426', 'camouflaged_second_word_longer_than_penultimate_pool_0434', 'camouflaged_second_word_longer_than_penultimate_pool_0227', 'camouflaged_second_word_longer_than_penultimate_pool_0325', 'camouflaged_second_word_longer_than_penultimate_pool_0367', 'camouflaged_second_word_longer_than_penultimate_pool_0458', 'camouflaged_second_word_longer_than_penultimate_pool_0315', 'camouflaged_second_word_longer_than_penultimate_pool_0470', 'camouflaged_second_word_longer_than_penultimate_pool_0203', 'camouflaged_second_word_longer_than_penultimate_pool_0248', 'camouflaged_second_word_longer_than_penultimate_pool_0479', 'camouflaged_second_word_longer_than_penultimate_pool_0348', 'camouflaged_second_word_longer_than_penultimate_pool_0320']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0034,"The Rajavis, Afshari went on to say, ''saw these kids as the next generation's soldiers.",B,A,B,B,False,0.0,none,resample_per_test,minimal,3,"['camouflaged_second_word_longer_than_penultimate_pool_0000', 'camouflaged_second_word_longer_than_penultimate_pool_0112', 'camouflaged_second_word_longer_than_penultimate_pool_0103', 'camouflaged_second_word_longer_than_penultimate_pool_0097', 'camouflaged_second_word_longer_than_penultimate_pool_0356', 'camouflaged_second_word_longer_than_penultimate_pool_0440', 'camouflaged_second_word_longer_than_penultimate_pool_0495', 'camouflaged_second_word_longer_than_penultimate_pool_0261', 'camouflaged_second_word_longer_than_penultimate_pool_0137', 'camouflaged_second_word_longer_than_penultimate_pool_0242', 'camouflaged_second_word_longer_than_penultimate_pool_0012', 'camouflaged_second_word_longer_than_penultimate_pool_0245', 'camouflaged_second_word_longer_than_penultimate_pool_0249', 'camouflaged_second_word_longer_than_penultimate_pool_0332', 'camouflaged_second_word_longer_than_penultimate_pool_0198', 'camouflaged_second_word_longer_than_penultimate_pool_0124']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0247,You need to check with one of the major hospital that performance this procedure like Bumrungard Hospital or Yanhee Hospital.,B,A,B,B,False,0.0,none,resample_per_test,minimal,4,"['camouflaged_second_word_longer_than_penultimate_pool_0372', 'camouflaged_second_word_longer_than_penultimate_pool_0427', 'camouflaged_second_word_longer_than_penultimate_pool_0319', 'camouflaged_second_word_longer_than_penultimate_pool_0330', 'camouflaged_second_word_longer_than_penultimate_pool_0250', 'camouflaged_second_word_longer_than_penultimate_pool_0123', 'camouflaged_second_word_longer_than_penultimate_pool_0243', 'camouflaged_second_word_longer_than_penultimate_pool_0369', 'camouflaged_second_word_longer_than_penultimate_pool_0343', 'camouflaged_second_word_longer_than_penultimate_pool_0172', 'camouflaged_second_word_longer_than_penultimate_pool_0284', 'camouflaged_second_word_longer_than_penultimate_pool_0483', 'camouflaged_second_word_longer_than_penultimate_pool_0387', 'camouflaged_second_word_longer_than_penultimate_pool_0244', 'camouflaged_second_word_longer_than_penultimate_pool_0388', 'camouflaged_second_word_longer_than_penultimate_pool_0236']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0102,I enjoyed working with you and wish you the best of everything.,A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['camouflaged_second_word_longer_than_penultimate_pool_0434', 'camouflaged_second_word_longer_than_penultimate_pool_0167', 'camouflaged_second_word_longer_than_penultimate_pool_0457', 'camouflaged_second_word_longer_than_penultimate_pool_0393', 'camouflaged_second_word_longer_than_penultimate_pool_0227', 'camouflaged_second_word_longer_than_penultimate_pool_0253', 'camouflaged_second_word_longer_than_penultimate_pool_0021', 'camouflaged_second_word_longer_than_penultimate_pool_0109', 'camouflaged_second_word_longer_than_penultimate_pool_0454', 'camouflaged_second_word_longer_than_penultimate_pool_0073', 'camouflaged_second_word_longer_than_penultimate_pool_0094', 'camouflaged_second_word_longer_than_penultimate_pool_0435', 'camouflaged_second_word_longer_than_penultimate_pool_0424', 'camouflaged_second_word_longer_than_penultimate_pool_0099', 'camouflaged_second_word_longer_than_penultimate_pool_0044', 'camouflaged_second_word_longer_than_penultimate_pool_0240']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0113,So I brought the car back the second day.,B,A,B,B,False,0.0,none,resample_per_test,minimal,6,"['camouflaged_second_word_longer_than_penultimate_pool_0329', 'camouflaged_second_word_longer_than_penultimate_pool_0101', 'camouflaged_second_word_longer_than_penultimate_pool_0039', 'camouflaged_second_word_longer_than_penultimate_pool_0253', 'camouflaged_second_word_longer_than_penultimate_pool_0377', 'camouflaged_second_word_longer_than_penultimate_pool_0496', 'camouflaged_second_word_longer_than_penultimate_pool_0065', 'camouflaged_second_word_longer_than_penultimate_pool_0166', 'camouflaged_second_word_longer_than_penultimate_pool_0426', 'camouflaged_second_word_longer_than_penultimate_pool_0096', 'camouflaged_second_word_longer_than_penultimate_pool_0272', 'camouflaged_second_word_longer_than_penultimate_pool_0462', 'camouflaged_second_word_longer_than_penultimate_pool_0078', 'camouflaged_second_word_longer_than_penultimate_pool_0199', 'camouflaged_second_word_longer_than_penultimate_pool_0029', 'camouflaged_second_word_longer_than_penultimate_pool_0001']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0167,"I lived here for two years when the prices were a little lower :) The places are very nice and clean, and in great condition!",B,A,B,B,False,0.0,none,resample_per_test,minimal,7,"['camouflaged_second_word_longer_than_penultimate_pool_0365', 'camouflaged_second_word_longer_than_penultimate_pool_0334', 'camouflaged_second_word_longer_than_penultimate_pool_0062', 'camouflaged_second_word_longer_than_penultimate_pool_0261', 'camouflaged_second_word_longer_than_penultimate_pool_0349', 'camouflaged_second_word_longer_than_penultimate_pool_0473', 'camouflaged_second_word_longer_than_penultimate_pool_0352', 'camouflaged_second_word_longer_than_penultimate_pool_0299', 'camouflaged_second_word_longer_than_penultimate_pool_0450', 'camouflaged_second_word_longer_than_penultimate_pool_0157', 'camouflaged_second_word_longer_than_penultimate_pool_0297', 'camouflaged_second_word_longer_than_penultimate_pool_0438', 'camouflaged_second_word_longer_than_penultimate_pool_0072', 'camouflaged_second_word_longer_than_penultimate_pool_0385', 'camouflaged_second_word_longer_than_penultimate_pool_0316', 'camouflaged_second_word_longer_than_penultimate_pool_0088']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0039,"Abby needs to fly to New York twice a month for these treatments, and her time on the Federal Grant program has expired.",A,B,A,A,False,0.0,none,resample_per_test,minimal,8,"['camouflaged_second_word_longer_than_penultimate_pool_0403', 'camouflaged_second_word_longer_than_penultimate_pool_0485', 'camouflaged_second_word_longer_than_penultimate_pool_0424', 'camouflaged_second_word_longer_than_penultimate_pool_0141', 'camouflaged_second_word_longer_than_penultimate_pool_0169', 'camouflaged_second_word_longer_than_penultimate_pool_0012', 'camouflaged_second_word_longer_than_penultimate_pool_0375', 'camouflaged_second_word_longer_than_penultimate_pool_0266', 'camouflaged_second_word_longer_than_penultimate_pool_0277', 'camouflaged_second_word_longer_than_penultimate_pool_0387', 'camouflaged_second_word_longer_than_penultimate_pool_0482', 'camouflaged_second_word_longer_than_penultimate_pool_0287', 'camouflaged_second_word_longer_than_penultimate_pool_0282', 'camouflaged_second_word_longer_than_penultimate_pool_0308', 'camouflaged_second_word_longer_than_penultimate_pool_0324', 'camouflaged_second_word_longer_than_penultimate_pool_0210']"
production_gpt54_20260602T001915Z_base_camouflaged_second_word_longer_than_penultimate_seed0,camouflaged_second_word_longer_than_penultimate,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_second_word_longer_than_penultimate/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_second_word_longer_than_penultimate_pool_0081,Personally I think you should just keep on walking by.,B,A,B,B,False,0.0,none,resample_per_test,minimal,9,"['camouflaged_second_word_longer_than_penultimate_pool_0097', 'camouflaged_second_word_longer_than_penultimate_pool_0254', 'camouflaged_second_word_longer_than_penultimate_pool_0091', 'camouflaged_second_word_longer_than_penultimate_pool_0221', 'camouflaged_second_word_longer_than_penultimate_pool_0212', 'camouflaged_second_word_longer_than_penultimate_pool_0140', 'camouflaged_second_word_longer_than_penultimate_pool_0426', 'camouflaged_second_word_longer_than_penultimate_pool_0391', 'camouflaged_second_word_longer_than_penultimate_pool_0412', 'camouflaged_second_word_longer_than_penultimate_pool_0040', 'camouflaged_second_word_longer_than_penultimate_pool_0311', 'camouflaged_second_word_longer_than_penultimate_pool_0269', 'camouflaged_second_word_longer_than_penultimate_pool_0227', 'camouflaged_second_word_longer_than_penultimate_pool_0151', 'camouflaged_second_word_longer_than_penultimate_pool_0035', 'camouflaged_second_word_longer_than_penultimate_pool_0078']"
