run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0227,What measures did Clinton take to avoid the draft ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['trec_number_or_date_answer_pool_0074', 'trec_number_or_date_answer_pool_0423', 'trec_number_or_date_answer_pool_0136', 'trec_number_or_date_answer_pool_0103', 'trec_number_or_date_answer_pool_0367', 'trec_number_or_date_answer_pool_0001', 'trec_number_or_date_answer_pool_0154', 'trec_number_or_date_answer_pool_0347', 'trec_number_or_date_answer_pool_0352', 'trec_number_or_date_answer_pool_0499', 'trec_number_or_date_answer_pool_0346', 'trec_number_or_date_answer_pool_0376', 'trec_number_or_date_answer_pool_0081', 'trec_number_or_date_answer_pool_0113', 'trec_number_or_date_answer_pool_0112', 'trec_number_or_date_answer_pool_0119']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0209,What does the T.S. stand for in T.S. Eliot 's name ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['trec_number_or_date_answer_pool_0477', 'trec_number_or_date_answer_pool_0322', 'trec_number_or_date_answer_pool_0396', 'trec_number_or_date_answer_pool_0016', 'trec_number_or_date_answer_pool_0229', 'trec_number_or_date_answer_pool_0465', 'trec_number_or_date_answer_pool_0233', 'trec_number_or_date_answer_pool_0131', 'trec_number_or_date_answer_pool_0259', 'trec_number_or_date_answer_pool_0486', 'trec_number_or_date_answer_pool_0393', 'trec_number_or_date_answer_pool_0473', 'trec_number_or_date_answer_pool_0156', 'trec_number_or_date_answer_pool_0463', 'trec_number_or_date_answer_pool_0071', 'trec_number_or_date_answer_pool_0207']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0445,What is making love ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,2,"['trec_number_or_date_answer_pool_0016', 'trec_number_or_date_answer_pool_0176', 'trec_number_or_date_answer_pool_0126', 'trec_number_or_date_answer_pool_0444', 'trec_number_or_date_answer_pool_0452', 'trec_number_or_date_answer_pool_0247', 'trec_number_or_date_answer_pool_0308', 'trec_number_or_date_answer_pool_0392', 'trec_number_or_date_answer_pool_0442', 'trec_number_or_date_answer_pool_0329', 'trec_number_or_date_answer_pool_0456', 'trec_number_or_date_answer_pool_0215', 'trec_number_or_date_answer_pool_0233', 'trec_number_or_date_answer_pool_0467', 'trec_number_or_date_answer_pool_0371', 'trec_number_or_date_answer_pool_0335']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0028,Who invented `` The Muppets '' ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['trec_number_or_date_answer_pool_0000', 'trec_number_or_date_answer_pool_0111', 'trec_number_or_date_answer_pool_0105', 'trec_number_or_date_answer_pool_0095', 'trec_number_or_date_answer_pool_0382', 'trec_number_or_date_answer_pool_0423', 'trec_number_or_date_answer_pool_0485', 'trec_number_or_date_answer_pool_0245', 'trec_number_or_date_answer_pool_0138', 'trec_number_or_date_answer_pool_0225', 'trec_number_or_date_answer_pool_0012', 'trec_number_or_date_answer_pool_0227', 'trec_number_or_date_answer_pool_0267', 'trec_number_or_date_answer_pool_0352', 'trec_number_or_date_answer_pool_0207', 'trec_number_or_date_answer_pool_0127']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0229,What is glass made of ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['trec_number_or_date_answer_pool_0350', 'trec_number_or_date_answer_pool_0404', 'trec_number_or_date_answer_pool_0334', 'trec_number_or_date_answer_pool_0349', 'trec_number_or_date_answer_pool_0234', 'trec_number_or_date_answer_pool_0122', 'trec_number_or_date_answer_pool_0226', 'trec_number_or_date_answer_pool_0393', 'trec_number_or_date_answer_pool_0361', 'trec_number_or_date_answer_pool_0171', 'trec_number_or_date_answer_pool_0302', 'trec_number_or_date_answer_pool_0472', 'trec_number_or_date_answer_pool_0413', 'trec_number_or_date_answer_pool_0265', 'trec_number_or_date_answer_pool_0364', 'trec_number_or_date_answer_pool_0262']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0103,In what year did China and the Republic of Korea establish diplomatic relations ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,5,"['trec_number_or_date_answer_pool_0452', 'trec_number_or_date_answer_pool_0156', 'trec_number_or_date_answer_pool_0468', 'trec_number_or_date_answer_pool_0416', 'trec_number_or_date_answer_pool_0247', 'trec_number_or_date_answer_pool_0237', 'trec_number_or_date_answer_pool_0017', 'trec_number_or_date_answer_pool_0107', 'trec_number_or_date_answer_pool_0435', 'trec_number_or_date_answer_pool_0064', 'trec_number_or_date_answer_pool_0096', 'trec_number_or_date_answer_pool_0414', 'trec_number_or_date_answer_pool_0439', 'trec_number_or_date_answer_pool_0098', 'trec_number_or_date_answer_pool_0040', 'trec_number_or_date_answer_pool_0263']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0113,What is a group of turkeys called ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['trec_number_or_date_answer_pool_0348', 'trec_number_or_date_answer_pool_0101', 'trec_number_or_date_answer_pool_0043', 'trec_number_or_date_answer_pool_0237', 'trec_number_or_date_answer_pool_0405', 'trec_number_or_date_answer_pool_0487', 'trec_number_or_date_answer_pool_0070', 'trec_number_or_date_answer_pool_0175', 'trec_number_or_date_answer_pool_0444', 'trec_number_or_date_answer_pool_0094', 'trec_number_or_date_answer_pool_0252', 'trec_number_or_date_answer_pool_0448', 'trec_number_or_date_answer_pool_0085', 'trec_number_or_date_answer_pool_0208', 'trec_number_or_date_answer_pool_0034', 'trec_number_or_date_answer_pool_0001']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0156,Who made the rotary engine automobile ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['trec_number_or_date_answer_pool_0341', 'trec_number_or_date_answer_pool_0353', 'trec_number_or_date_answer_pool_0058', 'trec_number_or_date_answer_pool_0245', 'trec_number_or_date_answer_pool_0328', 'trec_number_or_date_answer_pool_0482', 'trec_number_or_date_answer_pool_0332', 'trec_number_or_date_answer_pool_0287', 'trec_number_or_date_answer_pool_0461', 'trec_number_or_date_answer_pool_0166', 'trec_number_or_date_answer_pool_0285', 'trec_number_or_date_answer_pool_0419', 'trec_number_or_date_answer_pool_0079', 'trec_number_or_date_answer_pool_0412', 'trec_number_or_date_answer_pool_0330', 'trec_number_or_date_answer_pool_0082']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0043,What is the life expectancy of a dollar bill ?,A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['trec_number_or_date_answer_pool_0380', 'trec_number_or_date_answer_pool_0475', 'trec_number_or_date_answer_pool_0439', 'trec_number_or_date_answer_pool_0139', 'trec_number_or_date_answer_pool_0158', 'trec_number_or_date_answer_pool_0012', 'trec_number_or_date_answer_pool_0395', 'trec_number_or_date_answer_pool_0249', 'trec_number_or_date_answer_pool_0259', 'trec_number_or_date_answer_pool_0413', 'trec_number_or_date_answer_pool_0490', 'trec_number_or_date_answer_pool_0272', 'trec_number_or_date_answer_pool_0266', 'trec_number_or_date_answer_pool_0322', 'trec_number_or_date_answer_pool_0343', 'trec_number_or_date_answer_pool_0232']"
production_gpt54_20260602T001915Z_base_trec_number_or_date_answer_seed0,trec_number_or_date_answer,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/trec_number_or_date_answer/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",trec_number_or_date_answer_pool_0088,Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?,B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['trec_number_or_date_answer_pool_0095', 'trec_number_or_date_answer_pool_0238', 'trec_number_or_date_answer_pool_0086', 'trec_number_or_date_answer_pool_0241', 'trec_number_or_date_answer_pool_0198', 'trec_number_or_date_answer_pool_0137', 'trec_number_or_date_answer_pool_0444', 'trec_number_or_date_answer_pool_0367', 'trec_number_or_date_answer_pool_0427', 'trec_number_or_date_answer_pool_0036', 'trec_number_or_date_answer_pool_0301', 'trec_number_or_date_answer_pool_0250', 'trec_number_or_date_answer_pool_0247', 'trec_number_or_date_answer_pool_0161', 'trec_number_or_date_answer_pool_0041', 'trec_number_or_date_answer_pool_0085']"
