run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0253,"jcuymgiabh
sdufjfuvr",B,A,A,A,True,0.0,none,resample_per_test,minimal,0,"['pairwise_same_random_contains_ab_pool_0066', 'pairwise_same_random_contains_ab_pool_0443', 'pairwise_same_random_contains_ab_pool_0140', 'pairwise_same_random_contains_ab_pool_0106', 'pairwise_same_random_contains_ab_pool_0393', 'pairwise_same_random_contains_ab_pool_0005', 'pairwise_same_random_contains_ab_pool_0165', 'pairwise_same_random_contains_ab_pool_0315', 'pairwise_same_random_contains_ab_pool_0330', 'pairwise_same_random_contains_ab_pool_0498', 'pairwise_same_random_contains_ab_pool_0368', 'pairwise_same_random_contains_ab_pool_0347', 'pairwise_same_random_contains_ab_pool_0089', 'pairwise_same_random_contains_ab_pool_0111', 'pairwise_same_random_contains_ab_pool_0108', 'pairwise_same_random_contains_ab_pool_0115']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0221,"sinbiydwwsmg
uluab",B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['pairwise_same_random_contains_ab_pool_0483', 'pairwise_same_random_contains_ab_pool_0284', 'pairwise_same_random_contains_ab_pool_0420', 'pairwise_same_random_contains_ab_pool_0015', 'pairwise_same_random_contains_ab_pool_0257', 'pairwise_same_random_contains_ab_pool_0473', 'pairwise_same_random_contains_ab_pool_0260', 'pairwise_same_random_contains_ab_pool_0132', 'pairwise_same_random_contains_ab_pool_0290', 'pairwise_same_random_contains_ab_pool_0478', 'pairwise_same_random_contains_ab_pool_0370', 'pairwise_same_random_contains_ab_pool_0460', 'pairwise_same_random_contains_ab_pool_0170', 'pairwise_same_random_contains_ab_pool_0452', 'pairwise_same_random_contains_ab_pool_0079', 'pairwise_same_random_contains_ab_pool_0189']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0466,"tthounrkr
bjrabo",B,A,B,B,False,0.0,none,resample_per_test,minimal,2,"['pairwise_same_random_contains_ab_pool_0015', 'pairwise_same_random_contains_ab_pool_0196', 'pairwise_same_random_contains_ab_pool_0124', 'pairwise_same_random_contains_ab_pool_0419', 'pairwise_same_random_contains_ab_pool_0434', 'pairwise_same_random_contains_ab_pool_0225', 'pairwise_same_random_contains_ab_pool_0331', 'pairwise_same_random_contains_ab_pool_0369', 'pairwise_same_random_contains_ab_pool_0461', 'pairwise_same_random_contains_ab_pool_0293', 'pairwise_same_random_contains_ab_pool_0470', 'pairwise_same_random_contains_ab_pool_0192', 'pairwise_same_random_contains_ab_pool_0260', 'pairwise_same_random_contains_ab_pool_0476', 'pairwise_same_random_contains_ab_pool_0343', 'pairwise_same_random_contains_ab_pool_0305']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0032,"rewkaburmg
sbzpz",B,A,A,A,True,0.0,none,resample_per_test,minimal,3,"['pairwise_same_random_contains_ab_pool_0002', 'pairwise_same_random_contains_ab_pool_0116', 'pairwise_same_random_contains_ab_pool_0107', 'pairwise_same_random_contains_ab_pool_0090', 'pairwise_same_random_contains_ab_pool_0353', 'pairwise_same_random_contains_ab_pool_0443', 'pairwise_same_random_contains_ab_pool_0492', 'pairwise_same_random_contains_ab_pool_0274', 'pairwise_same_random_contains_ab_pool_0135', 'pairwise_same_random_contains_ab_pool_0250', 'pairwise_same_random_contains_ab_pool_0008', 'pairwise_same_random_contains_ab_pool_0253', 'pairwise_same_random_contains_ab_pool_0243', 'pairwise_same_random_contains_ab_pool_0330', 'pairwise_same_random_contains_ab_pool_0189', 'pairwise_same_random_contains_ab_pool_0127']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0257,"irfabadadk
ruudyf",B,A,A,A,True,0.0,none,resample_per_test,minimal,4,"['pairwise_same_random_contains_ab_pool_0372', 'pairwise_same_random_contains_ab_pool_0431', 'pairwise_same_random_contains_ab_pool_0304', 'pairwise_same_random_contains_ab_pool_0325', 'pairwise_same_random_contains_ab_pool_0262', 'pairwise_same_random_contains_ab_pool_0118', 'pairwise_same_random_contains_ab_pool_0251', 'pairwise_same_random_contains_ab_pool_0370', 'pairwise_same_random_contains_ab_pool_0337', 'pairwise_same_random_contains_ab_pool_0185', 'pairwise_same_random_contains_ab_pool_0269', 'pairwise_same_random_contains_ab_pool_0481', 'pairwise_same_random_contains_ab_pool_0384', 'pairwise_same_random_contains_ab_pool_0242', 'pairwise_same_random_contains_ab_pool_0389', 'pairwise_same_random_contains_ab_pool_0236']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0106,"wcngufvv
upydgvblmi",A,B,A,A,False,0.0,none,resample_per_test,minimal,5,"['pairwise_same_random_contains_ab_pool_0434', 'pairwise_same_random_contains_ab_pool_0170', 'pairwise_same_random_contains_ab_pool_0454', 'pairwise_same_random_contains_ab_pool_0390', 'pairwise_same_random_contains_ab_pool_0225', 'pairwise_same_random_contains_ab_pool_0266', 'pairwise_same_random_contains_ab_pool_0016', 'pairwise_same_random_contains_ab_pool_0104', 'pairwise_same_random_contains_ab_pool_0455', 'pairwise_same_random_contains_ab_pool_0071', 'pairwise_same_random_contains_ab_pool_0103', 'pairwise_same_random_contains_ab_pool_0435', 'pairwise_same_random_contains_ab_pool_0416', 'pairwise_same_random_contains_ab_pool_0092', 'pairwise_same_random_contains_ab_pool_0043', 'pairwise_same_random_contains_ab_pool_0238']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0111,"kldpbab
ddrwctc",B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['pairwise_same_random_contains_ab_pool_0320', 'pairwise_same_random_contains_ab_pool_0094', 'pairwise_same_random_contains_ab_pool_0042', 'pairwise_same_random_contains_ab_pool_0266', 'pairwise_same_random_contains_ab_pool_0375', 'pairwise_same_random_contains_ab_pool_0496', 'pairwise_same_random_contains_ab_pool_0065', 'pairwise_same_random_contains_ab_pool_0164', 'pairwise_same_random_contains_ab_pool_0419', 'pairwise_same_random_contains_ab_pool_0088', 'pairwise_same_random_contains_ab_pool_0286', 'pairwise_same_random_contains_ab_pool_0467', 'pairwise_same_random_contains_ab_pool_0077', 'pairwise_same_random_contains_ab_pool_0190', 'pairwise_same_random_contains_ab_pool_0031', 'pairwise_same_random_contains_ab_pool_0005']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0170,"fhrabjte
pdvvzrx",B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['pairwise_same_random_contains_ab_pool_0366', 'pairwise_same_random_contains_ab_pool_0332', 'pairwise_same_random_contains_ab_pool_0062', 'pairwise_same_random_contains_ab_pool_0274', 'pairwise_same_random_contains_ab_pool_0354', 'pairwise_same_random_contains_ab_pool_0474', 'pairwise_same_random_contains_ab_pool_0356', 'pairwise_same_random_contains_ab_pool_0314', 'pairwise_same_random_contains_ab_pool_0448', 'pairwise_same_random_contains_ab_pool_0156', 'pairwise_same_random_contains_ab_pool_0311', 'pairwise_same_random_contains_ab_pool_0440', 'pairwise_same_random_contains_ab_pool_0074', 'pairwise_same_random_contains_ab_pool_0383', 'pairwise_same_random_contains_ab_pool_0295', 'pairwise_same_random_contains_ab_pool_0096']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0042,"rrwfntd
uyoktt",A,B,B,B,True,0.0,none,resample_per_test,minimal,8,"['pairwise_same_random_contains_ab_pool_0406', 'pairwise_same_random_contains_ab_pool_0482', 'pairwise_same_random_contains_ab_pool_0416', 'pairwise_same_random_contains_ab_pool_0142', 'pairwise_same_random_contains_ab_pool_0172', 'pairwise_same_random_contains_ab_pool_0008', 'pairwise_same_random_contains_ab_pool_0373', 'pairwise_same_random_contains_ab_pool_0282', 'pairwise_same_random_contains_ab_pool_0290', 'pairwise_same_random_contains_ab_pool_0384', 'pairwise_same_random_contains_ab_pool_0485', 'pairwise_same_random_contains_ab_pool_0299', 'pairwise_same_random_contains_ab_pool_0297', 'pairwise_same_random_contains_ab_pool_0284', 'pairwise_same_random_contains_ab_pool_0310', 'pairwise_same_random_contains_ab_pool_0211']"
production_gpt54_20260602T001915Z_pairwise_same_random_contains_ab_seed0,pairwise_same_random_contains_ab,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/pairwise_same_random_contains_ab/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",pairwise_same_random_contains_ab_pool_0082,"slvkqwkwth
wabu",B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['pairwise_same_random_contains_ab_pool_0090', 'pairwise_same_random_contains_ab_pool_0268', 'pairwise_same_random_contains_ab_pool_0098', 'pairwise_same_random_contains_ab_pool_0217', 'pairwise_same_random_contains_ab_pool_0212', 'pairwise_same_random_contains_ab_pool_0141', 'pairwise_same_random_contains_ab_pool_0419', 'pairwise_same_random_contains_ab_pool_0393', 'pairwise_same_random_contains_ab_pool_0407', 'pairwise_same_random_contains_ab_pool_0036', 'pairwise_same_random_contains_ab_pool_0326', 'pairwise_same_random_contains_ab_pool_0283', 'pairwise_same_random_contains_ab_pool_0225', 'pairwise_same_random_contains_ab_pool_0150', 'pairwise_same_random_contains_ab_pool_0039', 'pairwise_same_random_contains_ab_pool_0077']"
