run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0118,"Neither did Cheney, Rumsfeld, or Wolfowitz.",A,B,A,A,False,0.0,none,resample_per_test,minimal,0,"['sentence_past_tense_main_verb_pool_0210', 'sentence_past_tense_main_verb_pool_0231', 'sentence_past_tense_main_verb_pool_0200', 'sentence_past_tense_main_verb_pool_0091', 'sentence_past_tense_main_verb_pool_0055', 'sentence_past_tense_main_verb_pool_0159', 'sentence_past_tense_main_verb_pool_0034', 'sentence_past_tense_main_verb_pool_0032', 'sentence_past_tense_main_verb_pool_0247', 'sentence_past_tense_main_verb_pool_0241', 'sentence_past_tense_main_verb_pool_0093', 'sentence_past_tense_main_verb_pool_0183', 'sentence_past_tense_main_verb_pool_0111', 'sentence_past_tense_main_verb_pool_0106', 'sentence_past_tense_main_verb_pool_0002', 'sentence_past_tense_main_verb_pool_0246']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0003,I highly recommend his shop.,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['sentence_past_tense_main_verb_pool_0011', 'sentence_past_tense_main_verb_pool_0081', 'sentence_past_tense_main_verb_pool_0233', 'sentence_past_tense_main_verb_pool_0074', 'sentence_past_tense_main_verb_pool_0112', 'sentence_past_tense_main_verb_pool_0174', 'sentence_past_tense_main_verb_pool_0247', 'sentence_past_tense_main_verb_pool_0237', 'sentence_past_tense_main_verb_pool_0226', 'sentence_past_tense_main_verb_pool_0242', 'sentence_past_tense_main_verb_pool_0090', 'sentence_past_tense_main_verb_pool_0161', 'sentence_past_tense_main_verb_pool_0104', 'sentence_past_tense_main_verb_pool_0098', 'sentence_past_tense_main_verb_pool_0235', 'sentence_past_tense_main_verb_pool_0192']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0066,You have to pay CASH ONLY before they start unloading track on your destination.,B,A,B,B,False,0.0,none,resample_per_test,minimal,2,"['sentence_past_tense_main_verb_pool_0074', 'sentence_past_tense_main_verb_pool_0221', 'sentence_past_tense_main_verb_pool_0030', 'sentence_past_tense_main_verb_pool_0166', 'sentence_past_tense_main_verb_pool_0012', 'sentence_past_tense_main_verb_pool_0249', 'sentence_past_tense_main_verb_pool_0179', 'sentence_past_tense_main_verb_pool_0185', 'sentence_past_tense_main_verb_pool_0203', 'sentence_past_tense_main_verb_pool_0231', 'sentence_past_tense_main_verb_pool_0213', 'sentence_past_tense_main_verb_pool_0016', 'sentence_past_tense_main_verb_pool_0131', 'sentence_past_tense_main_verb_pool_0071', 'sentence_past_tense_main_verb_pool_0031', 'sentence_past_tense_main_verb_pool_0057']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0122,"My sister in law told me about this amazing new crepe place in town, I was so excited I just wanted to go and test it out for my self!",A,B,B,B,True,0.0,none,resample_per_test,minimal,3,"['sentence_past_tense_main_verb_pool_0000', 'sentence_past_tense_main_verb_pool_0078', 'sentence_past_tense_main_verb_pool_0113', 'sentence_past_tense_main_verb_pool_0233', 'sentence_past_tense_main_verb_pool_0221', 'sentence_past_tense_main_verb_pool_0061', 'sentence_past_tense_main_verb_pool_0029', 'sentence_past_tense_main_verb_pool_0152', 'sentence_past_tense_main_verb_pool_0185', 'sentence_past_tense_main_verb_pool_0242', 'sentence_past_tense_main_verb_pool_0219', 'sentence_past_tense_main_verb_pool_0187', 'sentence_past_tense_main_verb_pool_0184', 'sentence_past_tense_main_verb_pool_0133', 'sentence_past_tense_main_verb_pool_0048', 'sentence_past_tense_main_verb_pool_0056']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0098,"Since they knew our preferences, we almost always went along with their menu suggestions and were never sorry we did.",A,B,A,A,False,0.0,none,resample_per_test,minimal,4,"['sentence_past_tense_main_verb_pool_0050', 'sentence_past_tense_main_verb_pool_0019', 'sentence_past_tense_main_verb_pool_0235', 'sentence_past_tense_main_verb_pool_0162', 'sentence_past_tense_main_verb_pool_0173', 'sentence_past_tense_main_verb_pool_0241', 'sentence_past_tense_main_verb_pool_0168', 'sentence_past_tense_main_verb_pool_0153', 'sentence_past_tense_main_verb_pool_0077', 'sentence_past_tense_main_verb_pool_0145', 'sentence_past_tense_main_verb_pool_0138', 'sentence_past_tense_main_verb_pool_0191', 'sentence_past_tense_main_verb_pool_0167', 'sentence_past_tense_main_verb_pool_0115', 'sentence_past_tense_main_verb_pool_0171', 'sentence_past_tense_main_verb_pool_0232']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0051,Not that there is anything wrong with that because they also employ local people that live and shop in the area.,B,A,A,A,True,0.0,none,resample_per_test,minimal,5,"['sentence_past_tense_main_verb_pool_0194', 'sentence_past_tense_main_verb_pool_0102', 'sentence_past_tense_main_verb_pool_0230', 'sentence_past_tense_main_verb_pool_0076', 'sentence_past_tense_main_verb_pool_0062', 'sentence_past_tense_main_verb_pool_0002', 'sentence_past_tense_main_verb_pool_0006', 'sentence_past_tense_main_verb_pool_0125', 'sentence_past_tense_main_verb_pool_0190', 'sentence_past_tense_main_verb_pool_0113', 'sentence_past_tense_main_verb_pool_0026', 'sentence_past_tense_main_verb_pool_0222', 'sentence_past_tense_main_verb_pool_0184', 'sentence_past_tense_main_verb_pool_0245', 'sentence_past_tense_main_verb_pool_0169', 'sentence_past_tense_main_verb_pool_0036']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0099,"There are concerns that some may have been siphoned off.""",B,A,A,A,True,0.0,none,resample_per_test,minimal,6,"['sentence_past_tense_main_verb_pool_0020', 'sentence_past_tense_main_verb_pool_0028', 'sentence_past_tense_main_verb_pool_0037', 'sentence_past_tense_main_verb_pool_0113', 'sentence_past_tense_main_verb_pool_0229', 'sentence_past_tense_main_verb_pool_0091', 'sentence_past_tense_main_verb_pool_0241', 'sentence_past_tense_main_verb_pool_0054', 'sentence_past_tense_main_verb_pool_0206', 'sentence_past_tense_main_verb_pool_0097', 'sentence_past_tense_main_verb_pool_0146', 'sentence_past_tense_main_verb_pool_0225', 'sentence_past_tense_main_verb_pool_0115', 'sentence_past_tense_main_verb_pool_0130', 'sentence_past_tense_main_verb_pool_0222', 'sentence_past_tense_main_verb_pool_0154']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0186,"Nervous people make mistakes, so I suppose there will be a wave of succesfull arab attacks.",B,A,B,B,False,0.0,none,resample_per_test,minimal,7,"['sentence_past_tense_main_verb_pool_0134', 'sentence_past_tense_main_verb_pool_0050', 'sentence_past_tense_main_verb_pool_0195', 'sentence_past_tense_main_verb_pool_0069', 'sentence_past_tense_main_verb_pool_0147', 'sentence_past_tense_main_verb_pool_0067', 'sentence_past_tense_main_verb_pool_0008', 'sentence_past_tense_main_verb_pool_0056', 'sentence_past_tense_main_verb_pool_0217', 'sentence_past_tense_main_verb_pool_0211', 'sentence_past_tense_main_verb_pool_0035', 'sentence_past_tense_main_verb_pool_0122', 'sentence_past_tense_main_verb_pool_0023', 'sentence_past_tense_main_verb_pool_0085', 'sentence_past_tense_main_verb_pool_0229', 'sentence_past_tense_main_verb_pool_0209']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0248,Every now and then she stops to breathe.,B,A,A,A,True,0.0,none,resample_per_test,minimal,8,"['sentence_past_tense_main_verb_pool_0151', 'sentence_past_tense_main_verb_pool_0188', 'sentence_past_tense_main_verb_pool_0171', 'sentence_past_tense_main_verb_pool_0050', 'sentence_past_tense_main_verb_pool_0096', 'sentence_past_tense_main_verb_pool_0046', 'sentence_past_tense_main_verb_pool_0198', 'sentence_past_tense_main_verb_pool_0115', 'sentence_past_tense_main_verb_pool_0039', 'sentence_past_tense_main_verb_pool_0229', 'sentence_past_tense_main_verb_pool_0232', 'sentence_past_tense_main_verb_pool_0048', 'sentence_past_tense_main_verb_pool_0149', 'sentence_past_tense_main_verb_pool_0066', 'sentence_past_tense_main_verb_pool_0069', 'sentence_past_tense_main_verb_pool_0076']"
production_gpt54_20260602T001915Z_base_sentence_past_tense_main_verb_seed0,sentence_past_tense_main_verb,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/sentence_past_tense_main_verb/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",sentence_past_tense_main_verb_pool_0207,"A&E came out, charged $129 fee just to walk in the door.",A,B,B,B,True,0.0,none,resample_per_test,minimal,9,"['sentence_past_tense_main_verb_pool_0027', 'sentence_past_tense_main_verb_pool_0209', 'sentence_past_tense_main_verb_pool_0141', 'sentence_past_tense_main_verb_pool_0093', 'sentence_past_tense_main_verb_pool_0143', 'sentence_past_tense_main_verb_pool_0168', 'sentence_past_tense_main_verb_pool_0081', 'sentence_past_tense_main_verb_pool_0092', 'sentence_past_tense_main_verb_pool_0116', 'sentence_past_tense_main_verb_pool_0034', 'sentence_past_tense_main_verb_pool_0175', 'sentence_past_tense_main_verb_pool_0236', 'sentence_past_tense_main_verb_pool_0104', 'sentence_past_tense_main_verb_pool_0055', 'sentence_past_tense_main_verb_pool_0240', 'sentence_past_tense_main_verb_pool_0187']"
