run_id,task_id,model,provider,k_shot,seed,data_format,data_file,test_sampling_mode,test_sampling_seed,label_assignment_mode,label_assignment_seed,label_swap,label_map,test_example_id,test_input,canonical_true_label,true_label,raw_output,parsed_label,correct,temperature,reasoning_effort,demo_sampling_mode,prompt_template,demo_seed,demo_example_ids
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0245,Well it took us a while to find one that we liked.,B,A,B,B,False,0.0,none,resample_per_test,minimal,0,"['camouflaged_exactly_one_first3_contains_t_pool_0067', 'camouflaged_exactly_one_first3_contains_t_pool_0440', 'camouflaged_exactly_one_first3_contains_t_pool_0136', 'camouflaged_exactly_one_first3_contains_t_pool_0102', 'camouflaged_exactly_one_first3_contains_t_pool_0391', 'camouflaged_exactly_one_first3_contains_t_pool_0001', 'camouflaged_exactly_one_first3_contains_t_pool_0162', 'camouflaged_exactly_one_first3_contains_t_pool_0328', 'camouflaged_exactly_one_first3_contains_t_pool_0332', 'camouflaged_exactly_one_first3_contains_t_pool_0497', 'camouflaged_exactly_one_first3_contains_t_pool_0370', 'camouflaged_exactly_one_first3_contains_t_pool_0351', 'camouflaged_exactly_one_first3_contains_t_pool_0087', 'camouflaged_exactly_one_first3_contains_t_pool_0113', 'camouflaged_exactly_one_first3_contains_t_pool_0111', 'camouflaged_exactly_one_first3_contains_t_pool_0118']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0218,I also have back problems that transfer into my legs.,B,A,A,A,True,0.0,none,resample_per_test,minimal,1,"['camouflaged_exactly_one_first3_contains_t_pool_0488', 'camouflaged_exactly_one_first3_contains_t_pool_0308', 'camouflaged_exactly_one_first3_contains_t_pool_0411', 'camouflaged_exactly_one_first3_contains_t_pool_0019', 'camouflaged_exactly_one_first3_contains_t_pool_0247', 'camouflaged_exactly_one_first3_contains_t_pool_0475', 'camouflaged_exactly_one_first3_contains_t_pool_0248', 'camouflaged_exactly_one_first3_contains_t_pool_0131', 'camouflaged_exactly_one_first3_contains_t_pool_0277', 'camouflaged_exactly_one_first3_contains_t_pool_0477', 'camouflaged_exactly_one_first3_contains_t_pool_0369', 'camouflaged_exactly_one_first3_contains_t_pool_0466', 'camouflaged_exactly_one_first3_contains_t_pool_0167', 'camouflaged_exactly_one_first3_contains_t_pool_0452', 'camouflaged_exactly_one_first3_contains_t_pool_0079', 'camouflaged_exactly_one_first3_contains_t_pool_0198']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0460,"Heh, yep, I like to wear silk chemises, panties even stockings with garter belt.",B,A,B,B,False,0.0,none,resample_per_test,minimal,2,"['camouflaged_exactly_one_first3_contains_t_pool_0019', 'camouflaged_exactly_one_first3_contains_t_pool_0178', 'camouflaged_exactly_one_first3_contains_t_pool_0127', 'camouflaged_exactly_one_first3_contains_t_pool_0426', 'camouflaged_exactly_one_first3_contains_t_pool_0434', 'camouflaged_exactly_one_first3_contains_t_pool_0227', 'camouflaged_exactly_one_first3_contains_t_pool_0325', 'camouflaged_exactly_one_first3_contains_t_pool_0367', 'camouflaged_exactly_one_first3_contains_t_pool_0458', 'camouflaged_exactly_one_first3_contains_t_pool_0315', 'camouflaged_exactly_one_first3_contains_t_pool_0470', 'camouflaged_exactly_one_first3_contains_t_pool_0203', 'camouflaged_exactly_one_first3_contains_t_pool_0248', 'camouflaged_exactly_one_first3_contains_t_pool_0479', 'camouflaged_exactly_one_first3_contains_t_pool_0348', 'camouflaged_exactly_one_first3_contains_t_pool_0320']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0034,I popped in after my afternoon pumpkin spice latte break at Starbucks.,B,A,B,B,False,0.0,none,resample_per_test,minimal,3,"['camouflaged_exactly_one_first3_contains_t_pool_0000', 'camouflaged_exactly_one_first3_contains_t_pool_0112', 'camouflaged_exactly_one_first3_contains_t_pool_0103', 'camouflaged_exactly_one_first3_contains_t_pool_0097', 'camouflaged_exactly_one_first3_contains_t_pool_0356', 'camouflaged_exactly_one_first3_contains_t_pool_0440', 'camouflaged_exactly_one_first3_contains_t_pool_0495', 'camouflaged_exactly_one_first3_contains_t_pool_0261', 'camouflaged_exactly_one_first3_contains_t_pool_0137', 'camouflaged_exactly_one_first3_contains_t_pool_0242', 'camouflaged_exactly_one_first3_contains_t_pool_0012', 'camouflaged_exactly_one_first3_contains_t_pool_0245', 'camouflaged_exactly_one_first3_contains_t_pool_0249', 'camouflaged_exactly_one_first3_contains_t_pool_0332', 'camouflaged_exactly_one_first3_contains_t_pool_0198', 'camouflaged_exactly_one_first3_contains_t_pool_0124']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0247,She returned to Kuwait recently and observed that the men now walked several yards behind their wives.,B,A,B,B,False,0.0,none,resample_per_test,minimal,4,"['camouflaged_exactly_one_first3_contains_t_pool_0372', 'camouflaged_exactly_one_first3_contains_t_pool_0427', 'camouflaged_exactly_one_first3_contains_t_pool_0319', 'camouflaged_exactly_one_first3_contains_t_pool_0330', 'camouflaged_exactly_one_first3_contains_t_pool_0250', 'camouflaged_exactly_one_first3_contains_t_pool_0123', 'camouflaged_exactly_one_first3_contains_t_pool_0243', 'camouflaged_exactly_one_first3_contains_t_pool_0369', 'camouflaged_exactly_one_first3_contains_t_pool_0343', 'camouflaged_exactly_one_first3_contains_t_pool_0172', 'camouflaged_exactly_one_first3_contains_t_pool_0284', 'camouflaged_exactly_one_first3_contains_t_pool_0483', 'camouflaged_exactly_one_first3_contains_t_pool_0387', 'camouflaged_exactly_one_first3_contains_t_pool_0244', 'camouflaged_exactly_one_first3_contains_t_pool_0388', 'camouflaged_exactly_one_first3_contains_t_pool_0236']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0102,It looks like the war between Microsoft and Google is quickly brewing on the horizon.,A,B,A,A,False,0.0,none,resample_per_test,minimal,5,"['camouflaged_exactly_one_first3_contains_t_pool_0434', 'camouflaged_exactly_one_first3_contains_t_pool_0167', 'camouflaged_exactly_one_first3_contains_t_pool_0457', 'camouflaged_exactly_one_first3_contains_t_pool_0393', 'camouflaged_exactly_one_first3_contains_t_pool_0227', 'camouflaged_exactly_one_first3_contains_t_pool_0253', 'camouflaged_exactly_one_first3_contains_t_pool_0021', 'camouflaged_exactly_one_first3_contains_t_pool_0109', 'camouflaged_exactly_one_first3_contains_t_pool_0454', 'camouflaged_exactly_one_first3_contains_t_pool_0073', 'camouflaged_exactly_one_first3_contains_t_pool_0094', 'camouflaged_exactly_one_first3_contains_t_pool_0435', 'camouflaged_exactly_one_first3_contains_t_pool_0424', 'camouflaged_exactly_one_first3_contains_t_pool_0099', 'camouflaged_exactly_one_first3_contains_t_pool_0044', 'camouflaged_exactly_one_first3_contains_t_pool_0240']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0113,They said that we were to be charged for this room regardless because we did not cancel within the 72 hours.,B,A,B,B,False,0.0,none,resample_per_test,minimal,6,"['camouflaged_exactly_one_first3_contains_t_pool_0329', 'camouflaged_exactly_one_first3_contains_t_pool_0101', 'camouflaged_exactly_one_first3_contains_t_pool_0039', 'camouflaged_exactly_one_first3_contains_t_pool_0253', 'camouflaged_exactly_one_first3_contains_t_pool_0377', 'camouflaged_exactly_one_first3_contains_t_pool_0496', 'camouflaged_exactly_one_first3_contains_t_pool_0065', 'camouflaged_exactly_one_first3_contains_t_pool_0166', 'camouflaged_exactly_one_first3_contains_t_pool_0426', 'camouflaged_exactly_one_first3_contains_t_pool_0096', 'camouflaged_exactly_one_first3_contains_t_pool_0272', 'camouflaged_exactly_one_first3_contains_t_pool_0462', 'camouflaged_exactly_one_first3_contains_t_pool_0078', 'camouflaged_exactly_one_first3_contains_t_pool_0199', 'camouflaged_exactly_one_first3_contains_t_pool_0029', 'camouflaged_exactly_one_first3_contains_t_pool_0001']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0167,I e-mailed your assistant earlier this morning and have had no response.,B,A,A,A,True,0.0,none,resample_per_test,minimal,7,"['camouflaged_exactly_one_first3_contains_t_pool_0365', 'camouflaged_exactly_one_first3_contains_t_pool_0334', 'camouflaged_exactly_one_first3_contains_t_pool_0062', 'camouflaged_exactly_one_first3_contains_t_pool_0261', 'camouflaged_exactly_one_first3_contains_t_pool_0349', 'camouflaged_exactly_one_first3_contains_t_pool_0473', 'camouflaged_exactly_one_first3_contains_t_pool_0352', 'camouflaged_exactly_one_first3_contains_t_pool_0299', 'camouflaged_exactly_one_first3_contains_t_pool_0450', 'camouflaged_exactly_one_first3_contains_t_pool_0157', 'camouflaged_exactly_one_first3_contains_t_pool_0297', 'camouflaged_exactly_one_first3_contains_t_pool_0438', 'camouflaged_exactly_one_first3_contains_t_pool_0072', 'camouflaged_exactly_one_first3_contains_t_pool_0385', 'camouflaged_exactly_one_first3_contains_t_pool_0316', 'camouflaged_exactly_one_first3_contains_t_pool_0088']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0039,Robinson said the emergency order allowed the ISO to secure refunds should overcharges for electricity be proven to federal officials.,A,B,A,A,False,0.0,none,resample_per_test,minimal,8,"['camouflaged_exactly_one_first3_contains_t_pool_0403', 'camouflaged_exactly_one_first3_contains_t_pool_0485', 'camouflaged_exactly_one_first3_contains_t_pool_0424', 'camouflaged_exactly_one_first3_contains_t_pool_0141', 'camouflaged_exactly_one_first3_contains_t_pool_0169', 'camouflaged_exactly_one_first3_contains_t_pool_0012', 'camouflaged_exactly_one_first3_contains_t_pool_0375', 'camouflaged_exactly_one_first3_contains_t_pool_0266', 'camouflaged_exactly_one_first3_contains_t_pool_0277', 'camouflaged_exactly_one_first3_contains_t_pool_0387', 'camouflaged_exactly_one_first3_contains_t_pool_0482', 'camouflaged_exactly_one_first3_contains_t_pool_0287', 'camouflaged_exactly_one_first3_contains_t_pool_0282', 'camouflaged_exactly_one_first3_contains_t_pool_0308', 'camouflaged_exactly_one_first3_contains_t_pool_0324', 'camouflaged_exactly_one_first3_contains_t_pool_0210']"
production_gpt54_20260602T001915Z_base_camouflaged_exactly_one_first3_contains_t_seed0,camouflaged_exactly_one_first3_contains_t,gpt-5.4,openai,16,0,pool,/Users/tony/Github Repos/truthful-test/data/processed/camouflaged_exactly_one_first3_contains_t/pool_seed0.jsonl,balanced_from_pool,10000,random_per_seed,50000,True,"{'A': 'B', 'B': 'A'}",camouflaged_exactly_one_first3_contains_t_pool_0081,"To the north in Lebanon, there is serious debate within Hezbollah about entering the Lebanese political process in light of Syria's promised withdrawal.",B,A,A,A,True,0.0,none,resample_per_test,minimal,9,"['camouflaged_exactly_one_first3_contains_t_pool_0097', 'camouflaged_exactly_one_first3_contains_t_pool_0254', 'camouflaged_exactly_one_first3_contains_t_pool_0091', 'camouflaged_exactly_one_first3_contains_t_pool_0221', 'camouflaged_exactly_one_first3_contains_t_pool_0212', 'camouflaged_exactly_one_first3_contains_t_pool_0140', 'camouflaged_exactly_one_first3_contains_t_pool_0426', 'camouflaged_exactly_one_first3_contains_t_pool_0391', 'camouflaged_exactly_one_first3_contains_t_pool_0412', 'camouflaged_exactly_one_first3_contains_t_pool_0040', 'camouflaged_exactly_one_first3_contains_t_pool_0311', 'camouflaged_exactly_one_first3_contains_t_pool_0269', 'camouflaged_exactly_one_first3_contains_t_pool_0227', 'camouflaged_exactly_one_first3_contains_t_pool_0151', 'camouflaged_exactly_one_first3_contains_t_pool_0035', 'camouflaged_exactly_one_first3_contains_t_pool_0078']"
